time_index,y_true_tb,y_pred_tb
0,373.95630539952,374.00972199182263
1,373.93731360912,374.0237680881252
2,373.91440713872,374.0378141844279
3,373.89329023632,374.0518602807304
4,373.87229636672,374.06590637703306
5,373.84360735472,374.0799524733357
6,373.81773691232,374.0939985696383
7,373.82789271072,374.10804466594095
8,373.84199674352,374.12209076224354
9,373.85276770592,374.1361368585462
10,373.87371683632,374.1501829548488
11,373.88793271712,374.1642290511514
12,373.89996756192,374.178275147454
13,373.90685739872,374.1923212437566
14,373.91491045472,374.2063673400593
15,373.93419304992,374.22041343636187
16,373.95271507872,374.2344595326645
17,374.14010521792,374.2485056289671
18,374.20193479232,374.26255172526976
19,374.24253561632,374.2765978215723
20,374.21844355712,374.29064391787495
21,374.19164477632,374.30469001417754
22,374.19373633392,374.3187361104802
23,374.18817748832,374.33278220678284
24,374.19900437472,374.34682830308543
25,374.18594052832,374.3608743993881
26,374.16566248592,374.3749204956906
27,374.11638225712,374.38896659199327
28,374.10669622032,374.40301268829586
29,374.09702136832,374.4170587845985
30,374.07729138112,374.4311048809011
31,374.08395752192,374.44515097720375
32,374.07787299072,374.4591970735064
33,374.08010995072,374.473243169809
34,374.09807273952,374.4872892661116
35,374.10652844832,374.5013353624142
36,374.11326169792,374.51538145871683
37,374.12384251872,374.5294275550194
38,374.12182925472,374.5434736513221
39,374.13717480032,374.55751974762467
40,374.16468940832,374.5715658439273
41,374.35259404832,374.58561194022985
42,374.42815855712,374.5996580365325
43,374.44390675552,374.61370413283515
44,374.44350410272,374.62775022913775
45,374.44981232992,374.6417963254404
46,374.49110661152,374.655842421743
47,374.71560791712,374.66988851804564
48,374.72840332832,374.68393461434823
49,374.70472510672,374.6979807106508
50,374.67260236112,374.7120268069534
51,374.66758038592,374.72607290325607
52,374.67978300272,374.74011899955866
53,374.70480340032,374.7541650958613
54,374.73376084752,374.76821119216396
55,374.73784329952,374.78225728846655
56,374.76134256432,374.7963033847692
57,374.79344294032,374.81034948107174
58,374.83699655152,374.8243955773744
59,374.87489065392,374.838441673677
60,374.90551463632,374.85248776997963
61,374.94173101872,374.8665338662822
62,374.94743526672,374.8805799625849
63,374.96379862912,374.8946260588875
64,374.99254356512,374.90867215519006
65,375.18578335472,374.9227182514927
66,375.27189512992,374.9367643477953
67,375.28634589152,374.95081044409795
68,375.31311111792,374.96485654040055
69,375.33441816192,374.9789026367032
70,375.34206856512,374.9929487330058
71,375.58618800992,375.00699482930844
72,375.59817811552,375.021040925611
73,375.57117800832,375.0350870219136
74,375.51624945552,375.0491331182163
