time_index,historical_tb,forecast_mlp_tb,forecast_lstm_tb,forecast_gru_tb,forecast_pint_tb,forecast_tfkan_tb,forecast_exp_tb,forecast_arima_tb,forecast_prophet_tb,forecast_moe_tb
171,332.69046678688,,,,,,,,,
172,332.69189844128,,,,,,,,,
173,332.68952726368,,,,,,,,,
174,332.69561179488,,,,,,,,,
175,332.68317429728,,,,,,,,,
176,332.88629026528,,,,,,,,,
177,332.87362907168,,,,,,,,,
178,332.88074260448,,,,,,,,,
179,332.86651553888,,,,,,,,,
180,332.79680068048,,,,,,,,,
181,332.79014572448,,,,,,,,,
182,332.79390381728,,,,,,,,,
183,332.82128420768,,,,,,,,,
184,332.83589155648,,,,,,,,,
185,332.84073457488,,,,,,,,,
186,332.85835063488,,,,,,,,,
187,332.87468044288,,,,,,,,,
188,332.89338142848,,,,,,,,,
189,332.91759652048,,,,,,,,,
190,332.94049180608,,,,,,,,,
191,332.94617368448,,,,,,,,,
192,332.94729216448,,,,,,,,,
193,332.95192267168,,,,,,,,,
194,332.95731374528,,,,,,,,,
195,332.96107183808,,,,,,,,,
196,332.97136185408,,,,,,,,,
197,332.97476203328,,,,,,,,,
198,332.97986230208,,,,,,,,,
199,332.97744638528,,,,,,,,,
200,332.97753586368,,,,,,,,,
201,332.97995178048,,,,,,,,,
202,332.98507441888,,,,,,,,,
203,332.98930227328,,,,,,,,,
204,332.99229979968,,,,,,,,,
205,332.99474927088,,,,,,,,,
206,332.98822853248,,,,,,,,,
207,332.98901146848,,,,,,,,,
208,332.99708689408,,,,,,,,,
209,333.00333919728,,,,,,,,,
210,333.00755586688,,,,,,,,,
211,333.00451360128,,,,,,,,,
212,333.01449044288,,,,,,,,,
213,333.01936701568,,,,,,,,,
214,333.02576472128,,,,,,,,,
215,333.03189399168,,,,,,,,,
216,333.03829169728,,,,,,,,,
217,333.03457834368,,,,,,,,,
218,333.02983598848,,,,,,,,,
219,333.02164871488,,,,,,,,,
220,333.03131238208,,,,,,,,,
221,333.03410858208,,,,,,,,,
222,333.03583104128,,,,,,,,,
223,333.03901870928,,,,,,,,,
224,333.04118856048,,,,,,,,,
225,333.04060695088,,,,,,,,,
226,333.04360447728,,,,,,,,,
227,333.04074116848,,,,,,,,,
228,333.03290062368,,,,,,,,,
229,333.03343749408,,,,,,,,,
230,333.03762060928,,,,,,,,,
231,333.04786588608,,,,,,,,,
232,333.06009087248,,,,,,,,,
233,333.05842433728,,,,,,,,,
234,333.05482283168,,,,,,,,,
235,333.04999099808,,,,,,,,,
236,333.04310116128,,,,,,,,,
237,333.03066366368,,,,,,,,,
238,333.03683767328,,,,,,,,,
239,333.05085222768,,,,,,,,,
240,333.05178056608,,,,,,,,,
241,333.02140264928,,,,,,,,,
242,332.95743677808,,,,,,,,,
243,332.93126434608,,,,,,,,,
244,332.93308746848,,,,,,,,,
245,332.93474281888,,,,,,,,,
246,332.93457504688,,,,,,,,,
247,332.93224860848,,,,,,,,,
248,333.13462637968,,,,,,,,,
249,333.13669556768,,,,,,,,,
250,333.14403279648,,,,,,,,,
251,333.14763430208,,,,,,,,,
252,333.14765667168,,,,,,,,,
253,333.16088829008,,,,,,,,,
254,333.17126778448,,,,,,,,,
255,333.18358224928,,,,,,,,,
256,333.16027312608,,,,,,,,,
257,333.18017088528,,,,,,,,,
258,333.20656701328,,,,,,,,,
259,333.23137489968,,,,,,,,,
260,333.25454980528,,,,,,,,,
261,333.27754575408,,,,,,,,,
262,333.29481508528,,,,,,,,,
263,333.29839422128,,,,,,,,,
264,333.29767839408,,,,,,,,,
265,333.30301354368,,,,,,,,,
266,333.29808104688,,,,,,,,,
267,333.29937848368,,,,,,,,,
268,333.30331553328,,,,,,,,,
269,333.30962376048,,,,,,,,,
270,333.30778945328,,,,,,,,,
271,333.30980271728,,,,,,,,,
272,333.50956324528,,,,,,,,,
273,333.51546881968,,,,,,,,,
274,333.52544566128,,,,,,,,,
275,333.51043565968,,,,,,,,,
