Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
374.8749,375.09354,374.9867,375.1176,374.15665,374.8313,374.8213,375.73026,375.9377425541979,375.1244
374.90552,375.12625,374.99637,375.14212,374.16394,374.85388,374.83505,375.75836,375.96028376736615,375.15198
374.94174,375.1411,375.00726,375.16455,374.16025,374.87668,374.84882,375.78647,375.9677786497094,375.16632
374.94745,375.1633,375.01953,375.1879,374.16272,374.89978,374.86258,375.81458,375.9698412432688,375.18542
374.9638,375.1727,375.03302,375.2053,374.16858,374.92285,374.8763,375.84265,375.9834682428551,375.19678
374.99255,375.1914,375.054,375.22394,374.16266,374.94565,374.8901,375.8708,376.01522899867865,375.21588
375.1858,375.26636,375.1439,375.24658,374.2418,374.9681,374.90387,375.8989,376.05362284221593,375.27997
375.2719,375.33142,375.15872,375.30255,374.2956,374.99167,374.91763,375.92697,376.0802270537516,375.33344
375.28635,375.38892,375.16144,375.3451,374.30872,375.01782,374.9314,375.9551,376.08901194652833,375.37708
375.31314,375.4192,375.16174,375.36438,374.3169,375.04605,374.94513,375.9832,376.09413229990986,375.4004
375.33444,375.4273,375.16867,375.3805,374.29855,375.07587,374.9589,376.0113,376.1172601182226,375.41013
375.3421,375.4777,375.21835,375.39752,374.3236,375.10657,374.97266,376.03943,376.165864247445,375.45377
375.5862,375.58813,375.35562,375.41425,374.48474,375.13715,374.98642,376.0675,376.22357202068315,375.5477
375.59818,375.63925,375.3595,375.47897,374.50327,375.16934,375.00018,376.0956,376.2628118934252,375.59192
375.5712,375.6793,375.3554,375.50912,374.4958,375.2039,375.01392,376.12372,376.26857815977195,375.6215
375.51627,375.6751,375.34982,375.5116,374.46558,375.23932,375.02768,376.15182,376.2514186743765,375.61755
375.46057,375.6646,375.3466,375.50122,374.40985,375.2739,375.04147,376.17993,376.2375531846717,375.60785
375.4571,375.6753,375.3468,375.4947,374.42322,375.30603,375.05524,376.20804,376.24594191800867,375.6163
375.47363,375.71277,375.3459,375.50986,374.42264,375.33536,375.069,376.23615,376.27375847749835,375.64478
375.48117,375.74472,375.34384,375.53326,374.43628,375.36212,375.08276,376.26422,376.30291846747895,375.671
375.48492,375.73764,375.34174,375.55435,374.4183,375.3865,375.0965,376.29236,376.31971194822813,375.67047
375.4983,375.7548,375.34418,375.5717,374.42368,375.40887,375.11026,376.32047,376.3276270549069,375.68512
375.53073,375.77676,375.34924,375.58917,374.42682,375.42938,375.12402,376.34857,376.3414473119857,375.70343
375.56116,375.8143,375.3563,375.61075,374.4467,375.4486,375.1378,376.37668,376.3700418363551,375.73383
375.60925,375.8561,375.36322,375.63275,374.457,375.4669,375.15155,376.40475,376.4062570416688,375.76712
375.70544,375.88718,375.37033,375.6582,374.47363,375.48495,375.16528,376.4329,376.434468195922,375.79364
375.74008,375.9222,375.37775,375.69452,374.49493,375.50418,375.17905,376.461,376.44749469598145,375.82275
375.7267,375.95776,375.38528,375.7201,374.49658,375.52448,375.1928,376.48907,376.45494942362933,375.8499
375.74615,375.94785,375.39426,375.73132,374.4828,375.5452,375.2066,376.5172,376.47381393714187,375.84772
375.76804,375.95892,375.41446,375.7482,374.47485,375.5661,375.22037,376.5453,376.5106360873802,375.86176
375.97067,376.03064,375.5092,375.7695,374.55972,375.58698,375.2341,376.5734,376.55389577910626,375.9242
376.0518,376.1144,375.53,375.82755,374.6186,375.60934,375.24786,376.60153,376.5851615913093,375.9897
376.08978,376.1731,375.5347,375.8703,374.62808,375.6344,375.26163,376.6296,376.59840489815235,376.03323
376.094,376.21698,375.5389,375.89523,374.64774,375.66214,375.2754,376.6577,376.60778488965434,376.06592
376.1353,376.23175,375.54718,375.9066,374.6392,375.69128,375.28915,376.68582,376.6349616235042,376.07983
376.1591,376.27652,375.5887,375.9266,374.6547,375.72165,375.3029,376.71393,376.6873794054156,376.1188
376.41513,376.4051,375.72885,375.94852,374.82922,375.7527,375.31665,376.74207,376.748640993053,376.22467
376.4367,376.47488,375.7326,376.0159,374.85464,375.7859,375.3304,376.77014,376.791162737212,376.2798
376.3927,376.51517,375.72824,376.0482,374.84268,375.82193,375.34418,376.79825,376.7999739852682,376.30853
376.28958,376.50183,375.71884,376.04398,374.81378,375.8591,375.35794,376.82632,376.78561683952984,376.29816
376.24344,376.46744,375.70563,376.0165,374.72382,375.89487,375.37173,376.85446,376.77430995039555,376.27002
376.21347,376.46774,375.6935,376.00824,374.7358,375.9281,375.38547,376.88257,376.7850010007949,376.27103
376.2255,376.50412,375.68103,376.0189,374.72906,375.95782,375.39923,376.91068,376.8148495257171,376.29642
376.23566,376.5288,375.66766,376.0413,374.73294,375.9843,375.413,376.93878,376.8457740269711,376.31628
376.23807,376.5172,375.65808,376.06366,374.71487,376.00806,375.42676,376.96686,376.8640541121583,376.31256
376.27155,376.5332,375.65256,376.08124,374.72897,376.02936,375.44052,376.995,376.8732028762295,376.32605
376.28384,376.5604,375.65213,376.10284,374.73895,376.04895,375.45425,377.0231,376.88800849449336,376.34732
376.32104,376.5954,375.655,376.1204,374.74643,376.06696,375.46802,377.05118,376.91732213980754,376.37415
376.36148,376.63324,375.666,376.1418,374.75558,376.0841,375.48178,377.0793,376.95400106538347,376.40436
376.4071,376.68317,375.6768,376.1654,374.7948,376.10086,375.49554,377.1074,376.9824196324721,376.44275
376.4257,376.70908,375.68335,376.19064,374.8035,376.11737,375.5093,377.1355,376.99541172869147,376.46384
376.43222,376.72058,375.6907,376.21042,374.79617,376.13406,375.52307,377.16364,377.002605336247,376.4746
376.43863,376.7147,375.70026,376.2265,374.7938,376.15118,375.53683,377.1917,377.0209965149258,376.47607
376.46088,376.7222,375.7168,376.24283,374.7804,376.1681,375.5506,377.21982,377.05712077032285,376.487
