step,forecast_tb
1,396.18524959373866
2,396.2320775449555
3,396.2627495716662
4,396.28479109983937
5,396.31429290671406
6,396.3421309352252
7,396.3707412536408
8,396.39917474552874
9,396.4271970176059
10,396.4553399431205
11,396.48341361572767
12,396.5115163895357
13,396.5396284736417
14,396.56773236016767
15,396.59584001702314
16,396.62394493638783
17,396.65205009809324
18,396.6801555355362
19,396.708260781204
20,396.7363661925961
21,396.76447154500687
22,396.79257689779126
23,396.820682255902
24,396.84878760587696
25,396.8768929606072
26,396.90499831419413
27,396.93310366790723
28,396.9612090218773
29,396.9893143755709
30,397.0174197293772
31,397.04552508314833
32,397.07363043692055
33,397.101735790704
34,397.12984114448005
35,397.1579464982593
36,397.18605185203756
37,397.21415720581564
38,397.24226255959405
39,397.27036791337224
40,397.29847326715054
41,397.3265786209289
42,397.35468397470714
43,397.38278932848544
44,397.4108946822637
45,397.439000036042
46,397.46710538982023
47,397.4952107435986
48,397.52331609737683
49,397.55142145115514
50,397.5795268049334
51,397.6076321587117
52,397.63573751249
53,397.6638428662682
54,397.6919482200466
55,397.7200535738248
56,397.74815892760313
57,397.7762642813814
58,397.8043696351597
59,397.8324749889379
60,397.8605803427163
61,397.8886856964945
62,397.9167910502728
63,397.94489640405106
64,397.97300175782937
65,398.00110711160767
66,398.0292124653859
67,398.05731781916427
68,398.0854231729425
69,398.1135285267208
70,398.14163388049906
71,398.16973923427736
72,398.1978445880556
73,398.22594994183396
74,398.2540552956122
75,398.2821606493905
76,398.31026600316875
77,398.33837135694705
78,398.36647671072535
79,398.39458206450365
80,398.42268741828195
81,398.4507927720602
82,398.4788981258385
83,398.50700347961674
84,398.53510883339504
85,398.5632141871733
86,398.59131954095164
87,398.6194248947299
88,398.6475302485082
89,398.6756356022865
90,398.70374095606473
91,398.73184630984304
92,398.75995166362134
93,398.78805701739964
94,398.8161623711779
95,398.8442677249562
96,398.8723730787344
97,398.9004784325127
98,398.928583786291
99,398.95668914006933
100,398.9847944938476
101,399.0128998476259
102,399.0410052014042
103,399.0691105551824
104,399.0972159089608
105,399.125321262739
106,399.1534266165173
107,399.18153197029557
108,399.20963732407387
109,399.2377426778521
110,399.2658480316304
111,399.2939533854087
112,399.322058739187
113,399.35016409296526
114,399.37826944674356
115,399.40637480052186
116,399.4344801543001
117,399.46258550807846
118,399.4906908618567
119,399.518796215635
120,399.54690156941325
121,399.57500692319155
122,399.6031122769698
123,399.6312176307481
124,399.6593229845264
125,399.6874283383047
126,399.71553369208294
127,399.74363904586124
128,399.77174439963954
129,399.7998497534178
130,399.82795510719615
131,399.8560604609744
132,399.8841658147527
133,399.91227116853094
134,399.94037652230924
135,399.9684818760875
136,399.99658722986584
137,400.0246925836441
138,400.0527979374224
139,400.0809032912006
140,400.1090086449789
141,400.13711399875723
142,400.1652193525355
143,400.19332470631383
144,400.2214300600921
145,400.2495354138704
146,400.2776407676486
147,400.3057461214269
148,400.33385147520517
149,400.3619568289835
150,400.39006218276177
151,400.41816753654007
152,400.4462728903183
153,400.4743782440966
154,400.5024835978749
155,400.5305889516532
156,400.5586943054315
157,400.58679965920976
158,400.61490501298806
159,400.6430103667663
160,400.6711157205446
161,400.69922107432285
162,400.7273264281012
163,400.75543178187945
164,400.78353713565775
165,400.811642489436
166,400.8397478432143
167,400.86785319699254
168,400.8959585507709
169,400.9240639045492
170,400.95216925832744
171,400.98027461210575
172,401.008379965884
173,401.0364853196623
174,401.06459067344053
175,401.0926960272189
176,401.12080138099714
177,401.14890673477544
178,401.1770120885537
179,401.205117442332
180,401.2332227961102
181,401.2613281498886
182,401.2894335036668
183,401.31753885744513
184,401.3456442112234
185,401.3737495650017
186,401.40185491878
187,401.4299602725583
188,401.4580656263366
189,401.4861709801148
190,401.5142763338931
191,401.54238168767137
192,401.57048704144967
193,401.5985923952279
194,401.62669774900627
195,401.6548031027845
196,401.6829084565628
197,401.71101381034106
198,401.73911916411936
199,401.7672245178976
200,401.79532987167596
201,401.82343522545426
202,401.8515405792325
203,401.8796459330108
204,401.90775128678905
205,401.93585664056735
206,401.96396199434565
207,401.99206734812395
208,402.0201727019022
209,402.0482780556805
210,402.07638340945874
211,402.10448876323704
212,402.1325941170153
213,402.16069947079365
214,402.1888048245719
215,402.2169101783502
216,402.24501553212843
217,402.27312088590674
218,402.30122623968504
219,402.32933159346334
220,402.35743694724164
221,402.3855423010199
222,402.4136476547982
223,402.4417530085764
224,402.4698583623547
225,402.497963716133
226,402.52606906991133
227,402.5541744236896
228,402.5822797774679
229,402.6103851312461
230,402.6384904850244
231,402.66659583880266
232,402.694701192581
233,402.7228065463593
234,402.75091190013757
235,402.77901725391587
236,402.8071226076941
237,402.8352279614724
238,402.8633333152507
239,402.891438669029
240,402.91954402280726
241,402.94764937658556
242,402.9757547303638
243,403.0038600841421
244,403.03196543792035
245,403.0600707916987
246,403.08817614547695
247,403.11628149925525
248,403.1443868530335
249,403.1724922068118
250,403.2005975605901
251,403.2287029143684
252,403.2568082681467
253,403.28491362192494
254,403.31301897570324
255,403.3411243294815
256,403.3692296832598
257,403.3973350370381
258,403.4254403908164
259,403.45354574459463
260,403.48165109837294
261,403.5097564521512
262,403.5378618059295
263,403.5659671597077
264,403.5940725134861
265,403.6221778672644
266,403.6502832210426
267,403.67838857482093
268,403.7064939285992
269,403.7345992823775
270,403.7627046361558
271,403.7908099899341
272,403.8189153437123
273,403.8470206974906
274,403.87512605126886
275,403.90323140504717
276,403.9313367588254
277,403.95944211260377
278,403.987547466382
279,404.0156528201603
280,404.04375817393856
281,404.07186352771686
282,404.0999688814952
283,404.12807423527346
284,404.15617958905176
285,404.18428494283
286,404.2123902966083
287,404.24049565038655
288,404.26860100416485
289,404.29670635794315
290,404.32481171172145
291,404.3529170654997
292,404.381022419278
293,404.40912777305624
294,404.43723312683454
295,404.4653384806128
296,404.49344383439114
297,404.52154918816944
298,404.5496545419477
299,404.577759895726
300,404.60586524950423
301,404.63397060328253
302,404.66207595706084
303,404.69018131083914
304,404.7182866646174
305,404.7463920183957
306,404.7744973721739
307,404.8026027259522
308,404.8307080797305
309,404.85881343350883
310,404.8869187872871
311,404.9150241410654
312,404.9431294948436
313,404.9712348486219
314,404.9993402024003
315,405.0274455561785
316,405.0555509099568
317,405.08365626373507
318,405.11176161751337
319,405.1398669712916
320,405.1679723250699
321,405.1960776788482
322,405.2241830326265
323,405.25228838640476
324,405.28039374018306
325,405.3084990939613
326,405.3366044477396
327,405.36470980151785
328,405.3928151552962
329,405.4209205090745
330,405.44902586285275
331,405.47713121663105
332,405.5052365704093
333,405.53334192418765
334,405.5614472779659
335,405.5895526317442
336,405.61765798552244
337,405.64576333930074
338,405.673868693079
339,405.7019740468573
340,405.7300794006356
341,405.7581847544139
342,405.78629010819213
343,405.81439546197043
344,405.84250081574874
345,405.870606169527
346,405.89871152330534
347,405.9268168770836
348,405.9549222308619
349,405.9830275846401
350,406.0111329384184
351,406.03923829219667
352,406.067343645975
353,406.0954489997533
354,406.1235543535316
355,406.1516597073098
356,406.1797650610881
357,406.20787041486636
358,406.23597576864466
359,406.26408112242297
360,406.29218647620127
361,406.32029182997957
362,406.3483971837578
363,406.3765025375361
364,406.40460789131436
365,406.4327132450927
366,406.46081859887096
367,406.48892395264926
368,406.5170293064275
369,406.5451346602058
370,406.57324001398405
371,406.60134536776235
372,406.62945072154065
373,406.65755607531895
374,406.6856614290972
375,406.7137667828755
376,406.74187213665374
377,406.76997749043204
378,406.7980828442104
379,406.82618819798864
380,406.85429355176694
381,406.8823989055452
382,406.9105042593235
383,406.93860961310173
384,406.9667149668801
385,406.99482032065833
386,407.02292567443664
387,407.0510310282149
388,407.0791363819932
389,407.1072417357714
390,407.1353470895497
391,407.163452443328
392,407.1915577971063
393,407.2196631508846
394,407.2477685046629
395,407.2758738584412
396,407.3039792122194
397,407.3320845659978
398,407.360189919776
399,407.3882952735543
400,407.41640062733256
401,407.44450598111086
402,407.4726113348891
403,407.5007166886674
404,407.5288220424457
405,407.556927396224
406,407.58503275000226
407,407.61313810378056
408,407.64124345755886
409,407.6693488113371
410,407.69745416511546
411,407.7255595188937
412,407.753664872672
413,407.78177022645025
414,407.80987558022855
415,407.8379809340068
416,407.86608628778515
417,407.8941916415634
418,407.9222969953417
419,407.95040234911994
420,407.97850770289824
421,408.0066130566765
422,408.0347184104548
423,408.0628237642331
424,408.0909291180114
425,408.1190344717897
426,408.14713982556793
427,408.17524517934623
428,408.2033505331245
429,408.23145588690284
430,408.2595612406811
431,408.2876665944594
432,408.3157719482376
433,408.3438773020159
434,408.37198265579417
435,408.4000880095725
436,408.4281933633508
437,408.4562987171291
438,408.4844040709073
439,408.5125094246856
440,408.54061477846386
441,408.56872013224216
442,408.5968254860205
443,408.62493083979876
444,408.65303619357707
445,408.6811415473553
446,408.7092469011336
447,408.73735225491185
448,408.7654576086902
449,408.79356296246846
450,408.82166831624676
451,408.849773670025
452,408.8778790238033
453,408.90598437758155
454,408.93408973135985
455,408.96219508513815
456,408.99030043891645
457,409.01840579269475
458,409.046511146473
459,409.0746165002513
460,409.10272185402954
461,409.1308272078079
462,409.15893256158614
463,409.18703791536444
464,409.2151432691427
465,409.243248622921
466,409.27135397669923
467,409.2994593304776
468,409.32756468425583
469,409.35567003803413
470,409.3837753918124
471,409.4118807455907
472,409.439986099369
473,409.4680914531472
474,409.4961968069256
475,409.5243021607038
476,409.5524075144821
477,409.58051286826037
478,409.6086182220387
479,409.6367235758169
480,409.6648289295953
481,409.6929342833735
482,409.7210396371518
483,409.74914499093006
484,409.77725034470836
485,409.8053556984866
486,409.83346105226497
487,409.8615664060432
488,409.8896717598215
489,409.9177771135998
490,409.94588246737806
491,409.97398782115636
492,410.0020931749346
493,410.03019852871296
494,410.0583038824912
495,410.0864092362695
496,410.11451459004775
497,410.14261994382605
498,410.1707252976043
499,410.19883065138265
500,410.2269360051609
501,410.2550413589392
502,410.28314671271744
503,410.31125206649574
504,410.339357420274
505,410.3674627740523
506,410.39556812783064
507,410.4236734816089
508,410.4517788353872
509,410.47988418916543
510,410.50798954294373
511,410.536094896722
512,410.56420025050033
513,410.5923056042786
514,410.6204109580569
515,410.6485163118351
516,410.6766216656134
517,410.70472701939167
518,410.73283237317
519,410.76093772694827
520,410.7890430807266
521,410.8171484345049
522,410.8452537882831
523,410.8733591420614
524,410.90146449583966
525,410.929569849618
526,410.95767520339626
527,410.98578055717456
528,411.0138859109528
529,411.0419912647311
530,411.07009661850935
531,411.0982019722877
532,411.12630732606596
533,411.15441267984426
534,411.1825180336225
535,411.2106233874008
536,411.2387287411791
537,411.2668340949574
538,411.2949394487357
539,411.32304480251395
540,411.35115015629225
541,411.3792555100705
542,411.4073608638488
543,411.43546621762704
544,411.4635715714054
545,411.49167692518364
546,411.51978227896194
547,411.5478876327402
548,411.5759929865185
549,411.60409834029673
550,411.6322036940751
551,411.66030904785333
552,411.68841440163163
553,411.71651975540993
554,411.7446251091882
555,411.7727304629665
556,411.8008358167447
557,411.8289411705231
558,411.8570465243013
559,411.8851518780796
560,411.91325723185787
561,411.94136258563617
562,411.9694679394144
563,411.9975732931928
564,412.025678646971
565,412.0537840007493
566,412.08188935452756
567,412.10999470830586
568,412.1381000620841
569,412.16620541586246
570,412.19431076964077
571,412.222416123419
572,412.2505214771973
