step,forecast_tb
1,396.139782012467
2,396.153542186214
3,396.16730235996096
4,396.1810625337079
5,396.19482270745493
6,396.20858288120195
7,396.22234305494885
8,396.23610322869587
9,396.2498634024429
10,396.2636235761899
11,396.2773837499368
12,396.2911439236838
13,396.30490409743084
14,396.3186642711778
15,396.33242444492475
16,396.34618461867177
17,396.35994479241873
18,396.37370496616575
19,396.3874651399127
20,396.40122531365967
21,396.4149854874067
22,396.4287456611537
23,396.4425058349007
24,396.4562660086476
25,396.47002618239463
26,396.48378635614165
27,396.4975465298886
28,396.51130670363557
29,396.5250668773826
30,396.53882705112954
31,396.55258722487656
32,396.5663473986235
33,396.5801075723705
34,396.5938677461175
35,396.6076279198645
36,396.6213880936114
37,396.63514826735843
38,396.64890844110545
39,396.66266861485246
40,396.6764287885994
41,396.6901889623464
42,396.7039491360934
43,396.71770930984036
44,396.7314694835874
45,396.74522965733433
46,396.7589898310813
47,396.7727500048283
48,396.7865101785753
49,396.80027035232223
50,396.81403052606925
51,396.82779069981626
52,396.8415508735633
53,396.8553110473102
54,396.8690712210572
55,396.8828313948042
56,396.8965915685512
57,396.91035174229813
58,396.92411191604515
59,396.9378720897921
60,396.9516322635391
61,396.96539243728614
62,396.97915261103304
63,396.99291278478006
64,397.0066729585271
65,397.02043313227404
66,397.034193306021
67,397.047953479768
68,397.061713653515
69,397.075473827262
70,397.08923400100895
71,397.10299417475596
72,397.1167543485029
73,397.13051452224994
74,397.1442746959969
75,397.15803486974386
76,397.1717950434909
77,397.1855552172379
78,397.19931539098485
79,397.2130755647318
80,397.2268357384788
81,397.2405959122258
82,397.2543560859728
83,397.26811625971976
84,397.2818764334668
85,397.29563660721374
86,397.30939678096075
87,397.3231569547077
88,397.3369171284547
89,397.3506773022017
90,397.3644374759487
91,397.3781976496956
92,397.3919578234426
93,397.40571799718964
94,397.4194781709366
95,397.43323834468356
96,397.4469985184306
97,397.46075869217754
98,397.47451886592455
99,397.48827903967157
100,397.5020392134185
101,397.5157993871655
102,397.5295595609125
103,397.5433197346595
104,397.5570799084064
105,397.57084008215344
106,397.58460025590045
107,397.5983604296474
108,397.6121206033944
109,397.6258807771414
110,397.63964095088835
111,397.65340112463537
112,397.6671612983823
113,397.6809214721293
114,397.6946816458763
115,397.7084418196233
116,397.7222019933703
117,397.73596216711724
118,397.74972234086425
119,397.76348251461127
120,397.7772426883582
121,397.7910028621052
122,397.8047630358522
123,397.81852320959916
124,397.8322833833462
125,397.84604355709314
126,397.8598037308401
