time_index,y_true_tb,y_pred_tb
0,373.95630539952,374.0470830009295
1,373.93731360912,374.0872274466735
2,373.91440713872,374.1112738016755
3,373.89329023632,374.11740025476064
4,373.87229636672,374.14627563618615
5,373.84360735472,374.166604837476
6,373.81773691232,374.1879257777301
7,373.82789271072,374.20832117952017
8,373.84199674352,374.22569475716756
9,373.85276770592,374.24485923560377
10,373.87371683632,374.263368426832
11,373.88793271712,374.2821146422275
12,373.89996756192,374.30096503201645
13,373.90685739872,374.31949489740646
14,373.91491045472,374.3381608340044
15,373.93419304992,374.3567534799295
16,373.95271507872,374.375361533939
17,374.14010521792,374.39399565955335
18,374.20193479232,374.4126017906299
19,374.24253561632,374.4312208946081
20,374.21844355712,374.44983257457267
21,374.19164477632,374.4684438241872
22,374.19373633392,374.487058265499
23,374.18817748832,374.50567022110323
24,374.19900437472,374.52428357573694
25,374.18594052832,374.5428963594208
26,374.16566248592,374.56150893379265
27,374.11638225712,374.58012183217846
28,374.10669622032,374.59873448297367
29,374.09702136832,374.6173472729161
30,374.07729138112,374.6359600315318
31,374.08395752192,374.65457276029065
32,374.07787299072,374.6731855222803
33,374.08010995072,374.691798258539
34,374.09807273952,374.71041100681
35,374.10652844832,374.7290237542087
36,374.11326169792,374.7476364981266
37,374.12384251872,374.7662492456404
38,374.12182925472,374.7848619906085
39,374.13717480032,374.80347473649675
40,374.16468940832,374.82208748245927
41,374.35259404832,374.8407002280197
42,374.42815855712,374.8593129739686
43,374.44390675552,374.8779257196835
44,374.44350410272,374.8965384654633
45,374.44981232992,374.91515121126355
46,374.49110661152,374.9337639570169
47,374.71560791712,374.9523767028102
48,374.72840332832,374.97098944858317
49,374.70472510672,374.9896021943603
50,374.67260236112,375.0082149401408
51,374.66758038592,375.0268276859161
52,374.67978300272,375.0454404316951
53,374.70480340032,375.0640531774725
54,374.73376084752,375.0826659232501
55,374.73784329952,375.10127866902815
56,374.76134256432,375.11989141480564
57,374.79344294032,375.1385041605835
58,374.83699655152,375.1571169063612
59,374.87489065392,375.1757296521389
60,374.90551463632,375.1943423979166
61,374.94173101872,375.2129551436944
62,374.94743526672,375.2315678894721
63,374.96379862912,375.2501806352498
64,374.99254356512,375.26879338102754
65,375.18578335472,375.2874061268053
66,375.27189512992,375.306018872583
67,375.28634589152,375.32463161836074
68,375.31311111792,375.3432443641385
69,375.33441816192,375.3618571099162
70,375.34206856512,375.38046985569395
71,375.58618800992,375.39908260147166
72,375.59817811552,375.4176953472494
73,375.57117800832,375.43630809302715
74,375.51624945552,375.45492083880487
75,375.46054915152,375.4735335845826
76,375.45705949392,375.4921463303603
77,375.47361299792,375.5107590761381
78,375.48117392272,375.52937182191573
79,375.48492083072,375.5479845676935
80,375.49826429712,375.5665973134713
81,375.53072258672,375.58521005924894
82,375.56116761232,375.6038228050267
83,375.60925106752,375.6224355508044
84,375.70544034752,375.64104829658214
85,375.74006848832,375.65966104235986
86,375.72672502192,375.67827378813763
87,375.74615301952,375.69688653391535
88,375.76800811872,375.71549927969306
89,375.97064314032,375.73411202547084
90,376.05178886432,375.75272477124855
91,376.08977244512,375.77133751702627
92,376.09397792992,375.789950262804
93,376.13531695072,375.80856300858176
94,376.15906228112,375.8271757543594
95,376.41511590752,375.8457885001372
96,376.43670257152,375.86440124591496
97,376.39271275312,375.8830139916926
98,376.28955534272,375.9016267374704
99,376.24342922752,375.9202394832481
100,376.21344277872,375.9388522290258
101,376.22547762352,375.95746497480354
102,376.23564460672,375.9760777205813
103,376.23803815392,375.994690466359
104,376.27153662992,376.01330321213675
105,376.28381754032,376.0319159579145
106,376.32102936992,376.0505287036922
107,376.36147360672,376.06914144946995
108,376.40710759072,376.08775419524767
109,376.42568554352,376.1063669410254
110,376.43220628192,376.1249796868031
111,376.43860398752,376.1435924325809
112,376.46083936992,376.16220517835865
113,376.65207708032,376.1808179241363
114,376.72436444272,376.1994306699141
115,376.71965564192,376.2180434156918
116,376.76014461792,376.2366561614695
117,376.78050095392,376.2552689072472
118,376.79242395072,376.273881653025
119,377.04907037152,376.29249439880266
120,377.06208947872,376.31110714458043
121,377.04377996112,376.3297198903582
122,376.97725277072,376.34833263613586
123,376.94400036032,376.36694538191364
124,376.95257910192,376.38555812769135
125,376.92317426272,376.40417087346907
126,376.89175615952,376.4227836192468
127,376.88332282032,376.44139636502456
128,376.89879139872,376.4600091108023
129,376.91395798752,376.47862185658
130,376.94675182112,376.49723460235776
131,376.99184893472,376.5158473481354
132,377.03840007232,376.5344600939132
133,377.06826348832,376.5530728396909
134,377.08658419072,376.57168558546863
135,377.10057637552,376.5902983312464
136,377.11895300192,376.6089110770241
137,377.27562968032,376.6275238228019
138,377.34640709472,376.64613656857955
139,377.36649499552,376.6647493143573
140,377.39933356832,376.68336206013504
141,377.43033783392,376.70197480591276
142,377.47042415712,376.7205875516905
143,377.69743085792,376.73920029746824
144,377.70352657392,376.75781304324596
145,377.66234414032,376.7764257890237
146,377.62457307072,376.79503853480145
147,377.58919554832,376.8136512805791
148,377.56372775872,376.8322640263569
149,377.53785731632,376.8508767721346
150,377.51825036192,376.8694895179123
151,377.53201885072,376.8881022636901
152,377.54727491792,376.9067150094678
153,377.56560680512,376.9253277552455
154,377.58523612912,376.94394050102323
155,377.62554614832,376.962553246801
156,377.66025258272,376.98116599257867
157,377.66901028112,376.99977873835644
158,377.69590972512,377.0183914841342
159,377.71170266272,377.0370042299119
160,377.73619737472,377.05561697568965
161,377.91345408512,377.07422972146736
162,377.99326881792,377.0928424672451
163,378.00938611472,377.1114552130228
164,378.02906017792,377.13006795880057
165,378.07159597232,377.14868070457834
166,378.11540683392,377.167293450356
167,378.12409742352,377.18590619613377
168,378.09781314352,377.2045189419115
169,378.08210968432,377.2231316876892
170,378.07218876672,377.2417444334669
171,378.06735693312,377.2603571792447
172,378.06367713392,377.27896992502235
173,378.03280708592,377.2975826708001
174,378.02247233072,377.3161954165779
175,378.02498891072,377.33480816235556
176,378.01894911872,377.35342090813333
177,378.03597238432,377.37203365391105
178,378.07183085312,377.39064639968876
179,378.08883174912,377.4092591454665
180,378.10376345712,377.42787189124425
181,378.12408623872,377.4464846370219
182,378.13692638912,377.4650973827997
183,378.15218245632,377.48371012857746
184,378.16731549072,377.5023228743551
185,378.37000643632,377.5209356201329
186,378.44602952192,377.5395483659106
187,378.47182167072,377.5581611116883
188,378.47476327312,377.57677385746604
189,378.47447246832,377.5953866032438
190,378.45543593872,377.6139993490216
191,378.46220274272,377.63261209479924
192,378.46588254192,377.651224840577
193,378.45615176592,377.66983758635473
194,378.44621966352,377.68845033213245
195,378.43545988592,377.70706307791016
196,378.40529448032,377.72567582368794
197,378.37971484272,377.74428856946565
198,378.34988498112,377.76290131524337
199,378.34892308832,377.78151406102114
200,378.34869939232,377.8001268067988
201,378.35026526432,377.8187395525766
202,378.33480787072,377.8373522983543
203,378.33659743872,377.855965044132
204,378.33390190192,377.8745777899097
205,378.34528802832,377.8931905356875
206,378.37366386592,377.9118032814652
207,378.40005999392,377.9304160272429
208,378.42802199392,377.9490287730207
209,378.61499829552,377.96764151879836
210,378.66464762272,377.98625426457613
211,378.68469078432,378.00486701035385
212,378.69999159072,378.02347975613156
213,378.72969841952,378.04209250190934
214,378.74159904672,378.06070524768705
215,378.97529425792,378.0793179934648
216,378.99238463232,378.0979307392425
217,378.96395287072,378.11654348502026
218,378.92072361872,378.135156230798
219,378.92456000512,378.1537689765757
220,378.93260187632,378.17238172235346
221,378.95630246752,378.1909944681312
222,378.95007253392,378.2096072139089
223,378.94892049952,378.2282199596866
224,378.98251963872,378.2468327054644
225,379.06305019872,378.26544545124204
226,379.14248464832,378.2840581970198
227,379.25862761152,378.3026709427976
228,379.33674225472,378.32128368857525
229,379.41539376832,378.339896434353
230,379.48156304512,378.35850918013074
231,379.58958584352,378.37712192590845
232,379.65067722112,378.39573467168617
233,379.91100344112,378.41434741746394
234,380.05489589312,378.4329601632416
235,380.12079673472,378.4515729090194
236,380.20656178112,378.47018565479715
237,380.27596346512,378.4887984005748
238,380.30442878112,378.5074111463526
239,380.51405430272,378.5260238921303
240,380.52916496752,378.544636637908
241,380.52074281312,378.56324938368573
242,380.46263777712,378.5818621294635
243,380.43306516592,378.60047487524116
244,380.42614177472,378.61908762101893
245,380.58247172432,378.6377003667967
246,381.05436962112,378.65631311257437
247,381.16480833632,378.67492585835214
248,381.51227533312,378.69353860412986
249,381.95234128912,378.7121513499076
250,382.43823137072,378.7307640956853
251,382.80699422672,378.74937684146306
252,383.20988190752,378.7679895872408
253,383.55229337472,378.7866023330185
254,383.84164415072,378.80521507879627
255,384.12071609552,378.823827824574
256,384.47687368192,378.8424405703517
257,385.05143685792,378.8610533161294
258,385.43295038592,378.8796660619072
259,385.89544186592,378.8982788076849
260,386.43773689392,378.9168915534626
261,386.98792839072,378.9355042992404
262,387.60462470832,378.95411704501805
263,388.26885642592,378.9727297907958
264,388.60285692352,378.99134253657354
265,388.60569786272,379.00995528235126
266,388.51028033392,379.028568028129
267,388.81176661792,379.04718077390675
268,389.10930466752,379.06579351968446
269,389.40555646512,379.0844062654622
270,389.59342755072,379.10301901123995
271,389.80164378752,379.1216317570176
272,389.99448092432,379.1402445027954
273,390.32909658592,379.1588572485731
274,390.73394160672,379.1774699943508
275,390.99184072512,379.1960827401286
276,391.18966628272,379.2146954859063
277,391.47880454752,379.233308231684
278,391.87101074432,379.25192097746174
279,392.34343432672,379.2705337232395
280,392.78745970192,379.28914646901717
281,393.32240631632,379.30775921479494
282,393.71334863072,379.3263719605727
283,394.11790284672,379.3449847063504
284,394.05822075392,379.36359745212815
285,393.91795217712,379.38221019790586
286,393.81922394752,379.4008229436836
287,393.97611313712,379.4194356894613
288,393.84957949472,379.43804843523907
289,393.85756544192,379.4566611810167
290,393.76819888992,379.4752739267945
291,393.59872680032,379.4938866725723
292,393.36544542672,379.51249941834993
293,393.06393677312,379.5311121641277
294,392.84057631712,379.5497249099054
295,392.68542077152,379.56833765568314
296,392.15340457472,379.58695040146085
297,391.96336363792,379.6055631472386
298,391.88216198992,379.6241758930163
299,391.73096586352,379.64278863879406
300,391.55676260352,379.66140138457183
301,391.44361716672,379.6800141303495
302,391.26917902592,379.69862687612726
303,391.12417927872,379.717239621905
304,391.04211640112,379.7358523676827
305,390.94152030992,379.7544651134604
306,390.75861527552,379.7730778592382
