time_index,y_true_norm,y_pred_norm
0,-0.3769937463076976,-0.3361165993987262
1,-0.36139890383053963,-0.3361165993987262
2,-0.3643946200034294,-0.3361165993987262
3,-0.3630251497529655,-0.3361165993987262
4,-0.36293099867324613,-0.3361165993987262
5,-0.368819720750241,-0.3361165993987262
6,-0.3666628051057603,-0.3361165993987262
7,-0.3390936571261084,-0.3361165993987262
8,-0.33607226338602236,-0.3361165993987262
9,-0.3386229017275114,-0.3361165993987262
10,-0.33083403967799785,-0.3361165993987262
11,-0.33598667149536837,-0.3361165993987262
12,-0.3376557133631213,-0.3361165993987262
13,-0.34159294033320503,-0.3361165993987262
14,-0.3407027846704035,-0.3361165993987262
15,-0.3321093588487424,-0.3361165993987262
16,-0.3326913837051895,-0.3361165993987262
17,-0.20346474719578714,-0.3361165993987262
18,-0.29955020364396245,-0.3361165993987262
19,-0.31579554449009084,-0.3361165993987262
20,-0.3653018940443618,-0.3361165993987262
21,-0.3673732177981885,-0.3361165993987262
22,-0.34526483244226147,-0.3361165993987262
23,-0.35111931776299476,-0.3361165993987262
24,-0.3385801057821844,-0.3361165993987262
25,-0.35686253362587783,-0.3361165993987262
26,-0.36238321057306055,-0.3361165993987262
27,-0.38457718781964156,-0.3361165993987262
28,-0.3542776585281272,-0.3361165993987262
29,-0.3542690993390618,-0.3361165993987262
30,-0.361963810308856,-0.3361165993987262
31,-0.34176412411451307,-0.3361165993987262
32,-0.35152159964906854,-0.3361165993987262
33,-0.34515356298441124,-0.3361165993987262
34,-0.3331193431584595,-0.3361165993987262
35,-0.3403946538640491,-0.3361165993987262
36,-0.34171276898012065,-0.3361165993987262
37,-0.3387684079416232,-0.3361165993987262
38,-0.34840605482926307,-0.3361165993987262
39,-0.335122193399763,-0.3361165993987262
40,-0.3258097956966083,-0.3361165993987262
41,-0.20307102449877876,-0.3361165993987262
42,-0.28903951947165185,-0.3361165993987262
43,-0.3348140625934086,-0.3361165993987262
44,-0.34717353160384556,-0.3361165993987262
45,-0.34203801816460583,-0.3361165993987262
46,-0.31526487476803605,-0.3361165993987262
47,-0.17506535787679142,-0.3361165993987262
48,-0.3370736885066741,-0.3361165993987262
49,-0.364985204048942,-0.3361165993987262
50,-0.3714473917933187,-0.3361165993987262
51,-0.3507084766878556,-0.3361165993987262
52,-0.33752732552714027,-0.3361165993987262
53,-0.3277184948581924,-0.3361165993987262
54,-0.32470566030717174,-0.3361165993987262
55,-0.34374129678862037,-0.3361165993987262
56,-0.32888254457108673,-0.3361165993987262
57,-0.3223005281797945,-0.3361165993987262
58,-0.31353591857682533,-0.3361165993987262
59,-0.3178668682439175,-0.3361165993987262
60,-0.3234303411364272,-0.3361165993987262
61,-0.31915074660372744,-0.3361165993987262
62,-0.3425002143741374,-0.3361165993987262
63,-0.33434330719481165,-0.3361165993987262
64,-0.32486828489941433,-0.3361165993987262
65,-0.19898829131458318,-0.3361165993987262
66,-0.2809682041829801,-0.3361165993987262
67,-0.33580692852499494,-0.3361165993987262
68,-0.32638326136399004,-0.3361165993987262
69,-0.33056014562790503,-0.3361165993987262
70,-0.3410109154767579,-0.3361165993987262
71,-0.16005254025608062,-0.3361165993987262
72,-0.33768995011938285,-0.3361165993987262
73,-0.3675272832013657,-0.3361165993987262
74,-0.38889957829766836,-0.3361165993987262
75,-0.3894901623431809,-0.3361165993987262
76,-0.34953586778589585,-0.3361165993987262
77,-0.33419780098069984,-0.3361165993987262
78,-0.3410793889892811,-0.3361165993987262
79,-0.34399807246058234,-0.3361165993987262
80,-0.3366542882424695,-0.3361165993987262
81,-0.32202663412970167,-0.3361165993987262
82,-0.3235672881614736,-0.3361165993987262
83,-0.3100694470053385,-0.3361165993987262
84,-0.27325637483505505,-0.3361165993987262
85,-0.32036615145101416,-0.3361165993987262
86,-0.35707651335251284,-0.3361165993987262
87,-0.33199808939089215,-0.3361165993987262
88,-0.33014074536370047,-0.3361165993987262
89,-0.19179857249964755,-0.3361165993987262
90,-0.2847684841280175,-0.3361165993987262
91,-0.3177983947313943,-0.3361165993987262
92,-0.3436471457089009,-0.3361165993987262
93,-0.3152306380117744,-0.3361165993987262
94,-0.3286942424116479,-0.3361165993987262
95,-0.1509198855232993,-0.3361165993987262
96,-0.33034616590127003,-0.3361165993987262
97,-0.3805286913917076,-0.3361165993987262
98,-0.4258068015476712,-0.3361165993987262
99,-0.3821634965031989,-0.3361165993987262
100,-0.36981258668182737,-0.3361165993987262
101,-0.3376557133631213,-0.3361165993987262
102,-0.339085097937043,-0.3361165993987262
103,-0.3450337343374957,-0.3361165993987262
104,-0.3212306295466195,-0.3361165993987262
105,-0.33746741120368245,-0.3361165993987262
106,-0.31838897877690686,-0.3361165993987262
107,-0.3159153731370064,-0.3361165993987262
108,-0.311943909410661,-0.3361165993987262
109,-0.3326485877598625,-0.3361165993987262
110,-0.34187539357236324,-0.3361165993987262
111,-0.3419695446520826,-0.3361165993987262
112,-0.32984973293547687,-0.3361165993987262
113,-0.20052038615728968,-0.3361165993987262
114,-0.2915473618678139,-0.3361165993987262
115,-0.3504688193940244,-0.3361165993987262
116,-0.31588113638074483,-0.3361165993987262
117,-0.331287676698464,-0.3361165993987262
118,-0.33774130525377527,-0.3361165993987262
119,-0.15046624850283313,-0.3361165993987262
120,-0.3369025047253661,-0.3361165993987262
121,-0.36087679329755024,-0.3361165993987262
122,-0.3977754573584877,-0.3361165993987262
123,-0.372311869888924,-0.3361165993987262
124,-0.3403005027843297,-0.3361165993987262
125,-0.3693675088504266,-0.3361165993987262
126,-0.3709081628821985,-0.3361165993987262
127,-0.35331902935280246,-0.3361165993987262
128,-0.3350280423200436,-0.3361165993987262
129,-0.33525914042480937,-0.3361165993987262
130,-0.3217698584577397,-0.3361165993987262
131,-0.3123547504858002,-0.3361165993987262
132,-0.31124205590729825,-0.3361165993987262
133,-0.32401236599287436,-0.3361165993987262
134,-0.3328454491083667,-0.3361165993987262
135,-0.33615785527667635,-0.3361165993987262
136,-0.3328026531630397,-0.3361165993987262
137,-0.22696828036937428,-0.3361165993987262
138,-0.29270285239164284,-0.3361165993987262
139,-0.3314930972360336,-0.3361165993987262
140,-0.3217356217014781,-0.3361165993987262
141,-0.3231393287082036,-0.3361165993987262
142,-0.31618926718709917,-0.3361165993987262
143,-0.17314809952614194,-0.3361165993987262
144,-0.3422006427568484,-0.3361165993987262
145,-0.3783803349362923,-0.3361165993987262
146,-0.37576978227134544,-0.3361165993987262
147,-0.37393811581134995,-0.3361165993987262
148,-0.36635467429940594,-0.3361165993987262
149,-0.3666628051057603,-0.3361165993987262
150,-0.3618696592291366,-0.3361165993987262
151,-0.33632903905798434,-0.3361165993987262
152,-0.33519066691228616,-0.3361165993987262
153,-0.3328368899193013,-0.3361165993987262
154,-0.33184402398771495,-0.3361165993987262
