lag,Real,MLP,LSTM,GRU,TFKAN,PINT,EXP,ARIMA,PROPHET,MOE
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9972388198340095,0.9972098066598235,0.9992457106393788,0.9973768094303146,0.9979105159526578,0.9972781409080327,0.9971724571303282,0.9971692256699468,0.9966755544718976,0.9971456918566947
2,0.9943282148534002,0.9943603322000272,0.9981805877985342,0.9946848585528771,0.9957007456167802,0.9944967068151349,0.9943449149561558,0.9943420162359289,0.9933291945967265,0.9942698478932137
3,0.9912950208169562,0.9914552787957427,0.9968424227071124,0.9919402727755783,0.9933772591525151,0.9916559641400572,0.991517395338749,0.9915153164326291,0.989954680622063,0.9913715625492828
4,0.9881511904362504,0.9885063992469162,0.9952436335461736,0.9891601362083772,0.9909474288739304,0.9887562490499946,0.9886899083298804,0.9886875001282083,0.986555404631028,0.9884581224272186
5,0.9849009085155157,0.9855178123136786,0.993387170968884,0.9863562206238127,0.988421327851331,0.985797657131626,0.9858624639812228,0.9858599790426947,0.9831419256175343,0.9855344716796527
6,0.9815517460730182,0.9824894492677522,0.9912726444845936,0.9835333408655043,0.9857952095331707,0.9827801043130022,0.9830350841690897,0.9830324677144691,0.9797242357539171,0.9826034658689697
7,0.9781092746820277,0.9794178329204614,0.9888997275652057,0.9806851046511678,0.9830695220140234,0.9797035873703142,0.9802077671409996,0.9802051037541967,0.9763054386430858,0.9796625537193773
8,0.9745794754322142,0.9762971129972434,0.9862934738167033,0.9778133567472156,0.9802427620519638,0.9765687726031965,0.9773805111184999,0.977377874289947,0.9728818742934724,0.9767071649808773
9,0.9709782462561857,0.9731329838276845,0.9834680635531724,0.9749212784647361,0.9773244705676731,0.9733766629791183,0.9745533379631517,0.9745507140601334,0.9694486128420605,0.9737394793914821
10,0.9673106270972306,0.9699307247944663,0.980433564915784,0.9720115135268373,0.9743286462109663,0.9701285395423617,0.9717262577267282,0.9717236389019298,0.9660046690858964,0.970763144766965
11,0.9635748724301552,0.9666976128768178,0.9771991473454175,0.9690863734785452,0.9712598894038947,0.9668256780095656,0.9688992804546273,0.9688966646505518,0.9625532176424771,0.9677832508551577
12,0.9597699248304665,0.9634298242566388,0.973774665109592,0.9661486493821916,0.9681087219682368,0.9634694016910418,0.9660724043667656,0.9660698071495304,0.9590974897058145,0.9647987017834004
13,0.9559221362224555,0.960134003894503,0.9701881922889064,0.9631934498684904,0.9648983043596665,0.9600614780881853,0.9632456394972971,0.9632430590562472,0.9556371557143543,0.9618057157312464
14,0.9520152766010006,0.9568006242614501,0.9664382614665983,0.9602213502010498,0.9616172059010606,0.9566040871158528,0.9604190077077849,0.9604164478027075,0.9521690062695611,0.958800457619546
15,0.9480597987178456,0.9534322335749257,0.9625263752285055,0.9572338205744387,0.9582755814867966,0.9530994369095594,0.9575925190511371,0.9575899834399467,0.9486909426571812,0.9557857307017843
16,0.9440716439121378,0.9500332435146414,0.9584604709227914,0.9542315311877305,0.9548743364101894,0.9495496928849116,0.9547661835758156,0.9547636586316239,0.9452047560918493,0.9527639809112698
17,0.9400463668718109,0.9466055012269763,0.9542381900292009,0.9512149424940042,0.9514246605266531,0.945957076626375,0.9519400113308507,0.9519375008131101,0.9417145917706519,0.9497377421298542
18,0.936023899603845,0.9431628904893943,0.9498369811299305,0.9481812185586717,0.9479499990411565,0.9423237523529862,0.9491140123737951,0.9491115142208507,0.9382227336103025,0.9467204063434442
19,0.9319402601458051,0.939695804804616,0.9452558122099419,0.9451369444916773,0.9444250163890632,0.9386524846499726,0.9462881967564951,0.9462857031161026,0.9347273540618894,0.9437063083269472
20,0.9278034133906371,0.9362073506098354,0.9405225668050011,0.9420824304436592,0.9408522375753908,0.9349462585280874,0.9434625745306743,0.94346009493509,0.9312249618249355,0.9406943519956025
