Lag,Actual,MLP,LSTM,GRU,PINN,TFKAN,ETS,PROPHET,MOE
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9464200472643796,0.9229337813031345,0.9809907600413885,0.9125291977427189,0.9707329939029747,0.8926754480040372,0.9711538461538461,0.928470084763117,0.9490096437244084
2,0.8579376630292643,0.8136281281782537,0.9598472156015428,0.7703238901252173,0.8943358163548746,0.7254198231248237,0.9423183612504001,0.7678782968202256,0.8866810154427163
3,0.7703952491801331,0.7372035728490307,0.9377985197590584,0.6347908569721554,0.7873865236196566,0.5889743365842309,0.9135042142323699,0.5807719402734061,0.8343976712276038
4,0.7213037965322415,0.7306430712226238,0.9153438065266082,0.5359034221033367,0.6687747668070663,0.5712866778782095,0.8847220740424628,0.41993529296916404,0.8010114883064676
5,0.7146834797734537,0.7734020149150101,0.8924387225390874,0.4774786873413001,0.553516636128974,0.6413489362833059,0.8559826096233869,0.2989238847263912,0.775249837317503
6,0.7250885324448809,0.8100626787985766,0.8687785334850724,0.434953048138113,0.4506175515464568,0.7117973287798895,0.8272964899178494,0.19597867151536666,0.7513490472331114
7,0.7182721616284502,0.7845783761513557,0.8440688816566397,0.37619575591548443,0.36527101267748324,0.6943586910833617,0.7986743838685587,0.08292574072182674,0.7181898447584713
8,0.6850483388214755,0.6967305537999424,0.8181598825124502,0.30254473503354756,0.3006630792214087,0.5904532524009515,0.7701269604182229,-0.04842192746556847,0.6761763911480302
9,0.6326212248304184,0.5858491093696548,0.7913555862373275,0.22927299585401215,0.25835141619971724,0.4577906938091179,0.7416648885095489,-0.18337666414112863,0.6341046514666925
10,0.5991168572700892,0.511579885290068,0.7640712022237791,0.1768152906070725,0.23805896260652554,0.38420348674592836,0.7132988370852451,-0.30229490310074886,0.6066092398868899
11,0.5973515853911212,0.4935868282145808,0.7365243261410879,0.1582059209051109,0.23679715038818025,0.4030761814648528,0.6850394750880189,-0.3986109636784605,0.5918464559266216
12,0.621993037656124,0.5108588272719085,0.7085056975169084,0.16969983229891422,0.2489079434804981,0.47221030052001917,0.6568974714605784,-0.47965191130461704,0.5765293794116146
13,0.6423274113050552,0.5183908999425406,0.6793613011889932,0.16681607175345534,0.2669164144025782,0.5241454865053635,0.6288834951456314,-0.5520597952394025,0.5524457116318674
14,0.6342035640116165,0.47155132285497453,0.6489702753068638,0.1297338771322247,0.28308338937774047,0.49319630418898297,0.6010082150858851,-0.6088316399054474,0.5196530154330449
15,0.5920838583687833,0.37831841323993226,0.6176078012803388,0.06860878139779883,0.2910714270215194,0.39204664382645443,0.5732823002240479,-0.6319667264353253,0.47449231795714697
16,0.5419992386816074,0.27290942960079406,0.5858485109957188,-0.004215234225814031,0.2872080571273145,0.2780175983787215,0.5457164195028275,-0.6079543589939469,0.4313442496940691
17,0.5095526512573942,0.19874385922939675,0.5537653842617424,-0.060368325981936706,0.2704298592103636,0.2137313130349919,0.5183212418649312,-0.5403727224943903,0.3999844683840642
18,0.5047423936069593,0.1768942472191676,0.5210530784739159,-0.09224107975202209,0.24033611591463705,0.2183519582775494,0.4911074362530672,-0.4473619947569434,0.3789363154345323
19,0.5135063411333749,0.18369488281695404,0.48722171462617714,-0.11807899972924946,0.19644343618999596,0.2556457780266847,0.46408567160994346,-0.34729438501009713,0.3579617650408919
20,0.5136545265832371,0.17678202486304986,0.4520061679775888,-0.16419249268257788,0.1392406686431144,0.26059814868580217,0.4372666168782672,-0.2473477742466092,0.3319861572471697
