epoch,loss_total,val_loss_total,data_loss,val_data_loss,phys_loss,val_phys_loss
1,0.05457485839724541,0.09221792966127396,0.05457485467195511,0.09221792221069336,3.6781179915124085e-06,4.220669325150084e-06
2,0.05302710086107254,0.08943938463926315,0.05302710086107254,0.08943937718868256,5.747487648477545e-06,7.062678378133569e-06
3,0.05181844159960747,0.08680211752653122,0.05181843787431717,0.08680211007595062,8.123544830596074e-06,1.0344351721869316e-05
4,0.05060534551739693,0.0842994749546051,0.05060533434152603,0.08429946005344391,1.0930888493021484e-05,1.4134823686617892e-05
5,0.04963282495737076,0.08196043968200684,0.049632810056209564,0.08196042478084564,1.4596492292184848e-05,1.8507471395423636e-05
6,0.048749856650829315,0.07983561605215073,0.04874983802437782,0.07983559370040894,1.8310707673663273e-05,2.3327320377575234e-05
7,0.04817342013120651,0.0779925063252449,0.04817339777946472,0.07799247652292252,2.2432659534388222e-05,2.840002161974553e-05
8,0.04765439033508301,0.07650230824947357,0.04765436425805092,0.07650227844715118,2.7090678486274555e-05,3.3300762879662216e-05
9,0.04734494537115097,0.07540342956781387,0.04734491556882858,0.07540339231491089,3.1093524739844725e-05,3.732811819645576e-05
10,0.04721374064683914,0.07469268888235092,0.047213707119226456,0.07469265162944794,3.438033309066668e-05,4.0028156945481896e-05
11,0.047157518565654755,0.07431511580944061,0.04715748503804207,0.07431507855653763,3.667139753815718e-05,4.096448537893593e-05
12,0.047060929238796234,0.07421402633190155,0.04706089198589325,0.07421398907899857,3.696589556057006e-05,3.98322481487412e-05
13,0.04711449146270752,0.0743240937590599,0.047114454209804535,0.07432405650615692,3.6252866266295314e-05,3.722299152286723e-05
14,0.046863485127687454,0.074677973985672,0.04686344787478447,0.07467793673276901,3.407293843338266e-05,3.4152115404140204e-05
15,0.04681874066591263,0.07494715601205826,0.04681870713829994,0.07494712620973587,3.176223617629148e-05,3.190519055351615e-05
16,0.04670294374227524,0.0750042274594307,0.04670291393995285,0.0750041976571083,3.060675589949824e-05,3.0739756766706705e-05
17,0.046761367470026016,0.07489678263664246,0.04676133394241333,0.07489675283432007,2.990062967000995e-05,3.0345314371515997e-05
18,0.04666267707943916,0.07471312582492828,0.046662647277116776,0.0747130960226059,3.004836071340833e-05,3.0315601179609075e-05
19,0.04654086008667946,0.07452036440372467,0.04654083028435707,0.07452033460140228,3.0158998924889602e-05,3.0368537409231067e-05
20,0.046597667038440704,0.07435300946235657,0.04659763723611832,0.07435297966003418,3.0396837246371433e-05,3.0345345294335857e-05
21,0.046454090625047684,0.07424841821193695,0.046454060822725296,0.07424838840961456,3.053015825571492e-05,3.0096591217443347e-05
22,0.04639817029237747,0.07420194149017334,0.046398136764764786,0.07420191168785095,3.0379658710444346e-05,2.9646138500538655e-05
23,0.046375565230846405,0.07420215010643005,0.04637553542852402,0.07420212030410767,3.0223807698348537e-05,2.9115813958924264e-05
24,0.0461072102189064,0.0742712914943695,0.046107180416584015,0.07427126169204712,2.9813061701133847e-05,2.8384922188706696e-05
25,0.04620562121272087,0.07429337501525879,0.04620559141039848,0.0742933452129364,2.9827095204382204e-05,2.797168417600915e-05
26,0.046129241585731506,0.07418257743120193,0.04612921178340912,0.07418254762887955,2.9673577955691144e-05,2.8105727324145846e-05
27,0.04600169137120247,0.07401937991380692,0.04600166156888008,0.07401935011148453,3.0145349228405394e-05,2.8488757379818708e-05
28,0.04599052667617798,0.07388641685247421,0.04599049314856529,0.07388638705015182,3.088130324613303e-05,2.8822967578889802e-05
29,0.045871008187532425,0.0737825259566307,0.04587097838521004,0.07378249615430832,3.1341616704594344e-05,2.9120636099833064e-05
30,0.04593248665332794,0.07372689992189407,0.045932456851005554,0.07372687011957169,3.170601848978549e-05,2.9318394808797166e-05
31,0.045750390738248825,0.07372500747442245,0.04575035721063614,0.07372497767210007,3.172093056491576e-05,2.9412078220047988e-05
32,0.04572497308254242,0.0737013965845108,0.04572493955492973,0.07370136678218842,3.216814002371393e-05,2.9674074539798312e-05
33,0.045636288821697235,0.07366489619016647,0.04563625529408455,0.07366486638784409,3.248451685067266e-05,3.0065948521951213e-05
34,0.04552857577800751,0.07359898090362549,0.04552854597568512,0.0735989511013031,3.3022388379322365e-05,3.0657160095870495e-05
35,0.045435015112161636,0.07348903268575668,0.04543498530983925,0.0734890028834343,3.402881702641025e-05,3.146908420603722e-05
36,0.04550005495548248,0.07337616384029388,0.0455000177025795,0.0733761340379715,3.4971140848938376e-05,3.239552825107239e-05
37,0.04542391747236252,0.07332183420658112,0.045423880219459534,0.07332180440425873,3.606656537158415e-05,3.319558527437039e-05
38,0.045401670038700104,0.07331281155347824,0.04540163651108742,0.07331277430057526,3.68265355064068e-05,3.3934207749553025e-05
39,0.04520852118730545,0.07333458960056305,0.045208483934402466,0.07333455234766006,3.759811443160288e-05,3.466126145212911e-05
40,0.0452878400683403,0.07326897978782654,0.04528779909014702,0.07326894253492355,3.834655581158586e-05,3.571723937056959e-05
41,0.04505923390388489,0.07315614074468613,0.0450591966509819,0.07315610349178314,3.9780505176167935e-05,3.6996651033405215e-05
42,0.04512633755803108,0.07309029996395111,0.0451262965798378,0.07309026271104813,4.058144259033725e-05,3.8271820812951773e-05
43,0.04492530599236488,0.07308033853769302,0.0449252650141716,0.07308030128479004,4.220399569021538e-05,3.947074947063811e-05
44,0.044892966747283936,0.07305994629859924,0.04489292576909065,0.07305990904569626,4.34688336099498e-05,4.0801176510285586e-05
45,0.04484279453754425,0.07304466515779495,0.04484274983406067,0.07304462045431137,4.450913911568932e-05,4.220578557578847e-05
46,0.044704221189022064,0.07300915569067001,0.04470416158437729,0.07300911098718643,4.631637057173066e-05,4.3743773858295754e-05
47,0.04464825242757797,0.0729777067899704,0.04464820399880409,0.07297766208648682,4.7297293349402025e-05,4.541950693237595e-05
48,0.04469350352883339,0.07292377948760986,0.04469344764947891,0.07292373478412628,4.968161374563351e-05,4.721138611785136e-05
49,0.04454774409532547,0.07287227362394333,0.04454769566655159,0.07287222146987915,5.087839235784486e-05,4.908901246380992e-05
50,0.04451059550046921,0.07284791022539139,0.04451054707169533,0.07284785807132721,5.244815110927448e-05,5.103117291582748e-05
51,0.044363394379615784,0.07289736717939377,0.044363342225551605,0.07289731502532959,5.520468039321713e-05,5.2912673709215596e-05
52,0.04423081502318382,0.07291515916585922,0.044230759143829346,0.07291510701179504,5.629739462165162e-05,5.492700802278705e-05
53,0.044522494077682495,0.07287399470806122,0.04452243074774742,0.07287393510341644,5.966639218968339e-05,5.712202982977033e-05
54,0.044220827519893646,0.07288537174463272,0.04422076791524887,0.07288531213998795,6.159413896966726e-05,5.928882455918938e-05
55,0.044067054986953735,0.07288242131471634,0.04406699165701866,0.07288236171007156,6.376237433869392e-05,6.158014730317518e-05
56,0.044146064668893814,0.07286020368337631,0.04414599761366844,0.07286013662815094,6.455505354097113e-05,6.40135258436203e-05
57,0.044195760041475296,0.07280135899782181,0.044195689260959625,0.07280129194259644,6.69141736580059e-05,6.658793427050114e-05
58,0.04408198595046997,0.07277540117502213,0.0440819188952446,0.07277533411979675,6.972785922698677e-05,6.915914855198935e-05
59,0.04386965185403824,0.07282215356826782,0.04386957734823227,0.07282207906246185,7.29523308109492e-05,7.166560681071132e-05
