forecast_step,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,ARIMA_TiB,PROPHET_TiB,MOE_TiB
38,375.13822278642675,379.1429396595957,376.7675038304331,375.14688739442846,3.7566354355126975e-07,376.6096151079597,380.1368314568778,358.011844047292,373.59942626953125
39,376.54559096956274,380.02295217180273,376.53314408922216,375.50037440919897,3.774173349331057e-07,376.7756151899492,381.4179766611023,357.6913700880806,373.69744873046875
40,378.80728444719335,380.8927813496592,376.310487362385,375.83363446855566,3.7974376730615253e-07,376.94161527193864,380.40773776798113,357.73949629149814,373.79071044921875
41,380.9880495991709,381.74377355241796,374.9507790532114,376.1541486706736,3.82250954195801e-07,377.10761535392817,378.0138010691607,358.02767066138375,373.8843078613281
42,382.1179047551157,382.57461175584814,373.7262669529917,376.47090682649633,3.825479739711916e-07,377.27361543591763,376.1515896930194,358.2733345841379,373.9743347167969
43,381.57274636888525,383.39130887651464,373.91239270830175,376.7920299496653,3.81260776461426e-07,377.4396155179071,376.27463498518904,358.33604880997524,374.0604248046875
44,379.8689089741709,384.2042418446543,376.3262792553904,377.123035522938,3.7865139486962913e-07,377.60561559989657,378.2997747038163,358.38046918605994,374.14654541015625
45,379.4899388279917,385.02245816850683,379.5505610432627,377.4660688366892,3.77813692477051e-07,377.7716156818861,380.7201748592903,358.73369932339307,374.23773193359375
46,380.430896851063,385.84891519212744,381.21300611162206,377.82012900972387,3.797576164272463e-07,377.93761576387556,381.782261620285,359.55295028244205,374.33026123046875
47,382.4214926686289,386.6810389485361,380.2603426899912,378.18197641038915,3.8265350155908224e-07,378.103615845865,380.8088901340852,360.6109059136649,374.4219970703125
48,384.6353379216196,387.51440915727636,378.5591469731333,378.54729852342626,3.8571210312158225e-07,378.2696159278545,378.67166260577324,361.41424689820604,374.5146484375
49,385.8482314076426,388.3491450276377,376.77998408937475,378.9120818104746,3.864972930629885e-07,378.435616009844,377.08624448400167,361.572902590689,374.6055603027344
50,385.08175763750097,389.1842909779551,376.4158259358408,379.2731181111338,3.850469258754885e-07,378.6016160918335,377.29793304110905,361.10666987856894,374.6929931640625
51,383.5110980000498,390.0199061360361,378.2096777882578,379.62863645219824,3.8244817685205097e-07,378.76761617382294,379.16329329044834,360.42566830515807,374.7799072265625
52,383.34288129472753,390.8566428151133,381.7889710392954,379.9783946003916,3.8088538864404316e-07,378.93361625581247,381.30350184973986,360.00632517928113,374.8690490722656
53,384.3829937901499,391.6955405201914,385.6963759388926,380.32343778276464,3.823335115688479e-07,379.09961633780193,382.1790747461005,360.04414027346394,374.9595031738281
54,386.3430472340586,392.5364581074717,387.16625890398046,380.6656342473032,3.851478550747072e-07,379.2656164197914,381.24964898524814,360.3663174076397,375.050048828125
55,388.6333018269541,393.3783770527842,387.65451726579687,381.00712594652197,3.88442317477051e-07,379.43161650178087,379.34627402785424,360.6419305294034,375.1410827636719
56,389.99279698991796,394.2200823750498,383.7749968495371,381.3498202290537,3.89550383883301e-07,379.5976165837704,378.00298500187273,360.6698282424864,375.2315979003906
57,389.25303754472753,395.0606337513926,378.87430677080175,381.695017906666,3.8863193173486347e-07,379.76361666575986,378.28322958833934,360.487967119562,375.32061767578125
58,387.6285811390879,395.8993388142588,377.6099387135508,382.04323396348974,3.8623935751611347e-07,379.9296167477493,379.9978832900581,360.24656101202567,375.40863037109375
59,387.3442584004404,396.73620328569433,378.21041783952734,382.39422235155126,3.84768833102051e-07,380.09561682973884,381.8883681291667,360.0152271620995,375.4976806640625
60,388.3535414662363,397.5715342488291,380.45707711839697,382.7471714940073,3.858014395473635e-07,380.2616169117283,382.6057363252612,359.7322187211677,375.58740234375
61,390.27921971941015,398.40597638750097,383.146283241749,383.100987526417,3.881532969692385e-07,380.4276169937178,381.72524837712666,359.3308585972986,375.6773986816406
62,392.6084242787363,399.2404089894297,385.04053792619726,383.4545899357798,3.91012096773926e-07,380.59361707570724,380.03442599582917,358.8821560136203,375.7676086425781
63,394.1213522877695,400.0756483998301,384.3907938923838,383.8071461644175,3.91937540133301e-07,380.75961715769677,378.9025139371195,358.5759269151403,375.8576354980469
64,393.58849820756933,400.9121809926035,382.19914254808447,384.1582089390757,3.90997463961426e-07,380.92561723968623,379.23448342786304,358.53984277361803,375.9469299316406
65,391.91443357133886,401.750136467457,380.5702668156626,384.5077429738047,3.889677188442385e-07,381.0916173216757,380.807683503896,358.68095259827396,376.03582763671875
66,391.36144361162206,402.589247795582,380.3430596318247,384.85605916643163,3.879544063442385e-07,381.2576174036652,382.47598280744165,358.731023646351,376.1250915527344
67,392.1911917653086,403.4289389576914,382.15539369249365,385.2036801304819,3.89423008883301e-07,381.4236174856547,383.0597156212309,358.47934354418754,376.2147521972656
68,394.06624707841894,404.26856526994726,385.1551829304697,385.55118665361425,3.920009903286135e-07,381.58961756764415,382.2314388533564,357.9792632764511,376.3045349121094
69,396.34822377824804,405.1076498951914,388.623915764332,385.8990784611704,3.948139805629885e-07,381.7556176496336,380.7333937311535,357.5213539591133,376.3943176269531
70,397.9528532948496,405.94602498674413,388.13462361955663,386.2476759877207,3.9559193271142597e-07,381.92161773162314,379.78562428616516,357.3827007313263,376.48406982421875
71,397.49079045915624,406.7837973561289,388.18324384355566,386.5970831837656,3.943326817348635e-07,382.0876178136126,380.15529468614295,357.5829573834147,376.57342529296875
72,395.910105797291,407.6211996998789,386.3652640309336,386.94720563554785,3.9206803134423847e-07,382.2536178956021,381.5963088550261,357.8831214189107,376.6627502441406
73,395.3770647969248,408.45845327043554,384.8191338505747,387.2978068318369,3.90774073336426e-07,382.41961797759154,383.0672642237412,358.0362279031567,376.75213623046875
74,396.1380873646738,409.29575261735937,384.77513894701025,387.64858731889746,3.923053594692385e-07,382.58561805958107,383.5386346038147,358.05220410644597,376.84173583984375
75,397.9361887898447,410.13320073747656,386.94790944719335,387.99926671648046,3.95083040133301e-07,382.75161814157053,382.7644380046441,358.2127414174779,376.93145751953125
76,400.2571860280039,410.97081288957617,390.3583537068369,388.3496409382822,3.98139559664551e-07,382.91761822356,381.4408732342551,358.8018172006598,377.0211181640625
77,401.9406405415537,411.80856237077734,392.3988905873301,388.6996088948252,3.99175169039551e-07,383.0836183055495,380.6531695321742,359.7923771037499,377.1107177734375
78,401.563540550709,412.64640721941015,391.59038839006445,389.04918203020117,3.98036434664551e-07,383.249618387539,381.04893020112985,360.7879145131768,377.2001953125
79,399.9843474354746,413.48432073259374,391.12621411943456,389.39845380449316,3.95695354586426e-07,383.41561846952845,382.3669101222981,361.2961499474497,377.2896423339844
80,399.3219939198496,414.3222800221445,388.8078871693613,389.74756917619726,3.94190987398926e-07,383.5816185515179,383.6628881006743,361.1105326550902,377.3791198730469
81,399.9978629078867,415.16026982927343,387.63507184648535,390.09667882585546,3.95383401461426e-07,383.74761863350744,384.04026879356536,360.47192091789594,377.4687194824219
82,401.7357188191416,415.9982748951914,388.49560842180273,390.4459067311289,3.98054778414551e-07,383.9136187154969,383.32088492978215,359.87370482993384,377.5583190917969
83,404.0389662709238,416.83627996110937,391.73122319841406,390.7953291859629,4.01085430758301e-07,384.0796187974864,382.154925041648,359.6835517233316,377.6479187011719
84,405.8313590016367,417.6742697682383,395.25265416765234,391.1449614491465,4.02280075289551e-07,384.2456188794759,381.50603922862393,359.90234106105095,377.7374572753906
85,405.6455832448008,418.5122328724863,395.9215689625742,391.49477300310156,4.01319712008301e-07,384.41161896146536,381.9183481934308,360.24008923154736,377.8270568847656
86,404.1002493824961,419.35015401506445,394.9326716389658,391.84469709062597,3.99181881930176e-07,384.57761904345483,383.12222757961007,360.4014490049925,377.9165954589844
87,403.3101416554453,420.1880255665781,393.11925038957617,392.1946574177744,3.97748012789551e-07,384.7436191254443,384.263328971706,360.30775924277367,378.006103515625
88,403.88199147844335,421.02584752702734,391.31860265398046,392.5445815052988,3.98882317477051e-07,384.9096192074338,384.5625458127957,360.07877803088644,378.0956726074219
89,405.54949483537695,421.8636313405039,391.1767111744883,392.89441976213476,4.01374852633301e-07,385.0756192894233,383.89779841029,359.84322113528117,378.1852722167969
90,407.82232198381445,422.70139608049413,393.26872167253515,393.24415120744726,4.04221583102051e-07,385.24161937141275,382.87392472076203,359.59831638132266,378.27490234375
91,409.6888686146738,423.53917226457617,396.83925542497656,393.5937815632822,4.05317411227051e-07,385.4076194534023,382.34513919226094,359.2578872475696,378.36444091796875
92,409.6677962269785,424.3769827809336,399.3578654255869,393.9433375325205,4.04303733492676e-07,385.57361953539174,382.76622203203675,358.8136391560711,378.4540100097656
93,408.1713019337656,425.21483525896093,398.71522054338476,394.2928591694834,4.02244225680176e-07,385.7396196173812,383.8646390757056,358.4111938574696,378.5435485839844
94,407.2893439259531,426.0527296986582,397.9937640156748,394.64238462114355,4.00918419039551e-07,385.9056196993707,384.86889571764823,358.23600186224974,378.63311767578125
95,407.7807341542246,426.8906546559336,395.12815961504003,394.9919444050791,4.02230946383301e-07,386.0716197813602,385.1035421428302,358.31504797892757,378.72271728515625
96,409.3619109120371,427.7285872426035,393.50655469560644,395.34155568742773,4.04825702242676e-07,386.23761986334966,384.49253859857487,358.44703319604787,378.81231689453125
97,411.6166373219492,428.5665121998789,394.1513319935801,395.6912222828867,4.07709862398926e-07,386.40361994533913,383.596519375768,358.3588021613137,378.90191650390625
98,413.5531531300547,429.40442189836523,396.88835057878515,396.04093274736425,4.08817413180176e-07,386.5696200273286,383.1713756144537,357.9574463466092,378.991455078125
99,413.69318303728124,430.24230870866796,399.8349333729746,396.3906718220713,4.0771570224267597e-07,386.7356201093181,383.59496295635586,357.4357312581495,379.0810546875
100,412.24781331682226,431.08017644548437,401.0154181447031,396.7404166188242,4.05544563570801e-07,386.9016201913076,384.59620305444633,357.1152572989398,379.1706237792969
101,411.24603948259374,431.918032738209,400.0261984791758,397.09014997148535,4.04080778414551e-07,387.06762027329705,385.4797619544015,357.1633835023574,379.26025390625
102,411.6811362233164,432.75588140153906,397.2662898030283,397.43985852861425,4.05316913180176e-07,387.2336203552866,385.66147850735854,357.45155787224,379.34979248046875
103,413.19321736955663,433.5937338795664,395.25328740739843,397.78953847551367,4.07980200289551e-07,387.39962043727604,385.10277201291814,357.69722179499644,379.43939208984375
104,415.4343443837168,434.43158635759374,395.23490819597265,398.13919362688085,4.10947809664551e-07,387.5656205192655,384.3215895068079,357.75993602083355,379.5289611816406
105,417.43841085100195,435.2694464650156,397.25817021989843,398.4888297047617,4.12218010836426e-07,387.731620601255,383.9856424904529,357.8043563969186,379.6185607910156
106,417.7603140797617,436.107314201832,400.74572667741796,398.83845815324804,4.11197085055176e-07,387.89762068324444,384.4067416596016,358.15758653425286,379.7081298828125
107,416.38307866716406,436.94518956804296,404.77915486955663,399.188088509083,4.0905299521142597e-07,388.06362076523396,385.31869698068624,358.97683749330145,379.7976989746094
108,415.27058705949804,437.7830649342539,405.607241722584,399.53773030900976,4.07490200289551e-07,388.22962084722343,386.0959919298822,360.0347931245251,379.8873291015625
109,415.64179143571874,438.62094030046484,405.18081960344335,399.88738546037695,4.08573778414551e-07,388.3956209292129,386.2347142328828,360.8381341090632,379.97686767578125
110,417.09933385515234,439.4588232960703,400.84284696245214,400.2370558705332,4.1113626278955097e-07,388.5616210112024,385.72643963023864,360.99678980154766,380.06646728515625
111,419.3171988453867,440.29669866228124,397.5806323018076,400.5867358174326,4.14071491305176e-07,388.7276210931919,385.04821562877083,360.5305570894271,380.1560363769531
112,421.3735762562754,441.1345740284922,397.25059232378027,400.93642339372656,4.15400780367676e-07,388.89362117518135,384.7888118459215,359.8495555160158,380.2456359863281
113,421.8514891591074,441.9724493947031,398.5796729054453,401.2861109700205,4.14458534273926e-07,389.0596212571708,385.2035086741409,359.43021239013984,380.3352355957031
114,420.53946218156835,442.81032476091406,401.8261385884287,401.6357947316172,4.12414682711426e-07,389.2256213391603,386.0336516029311,359.4680274843218,380.4248046875
115,419.34189519548437,443.648200127125,404.8846503224375,401.98547277116796,4.10896504977051e-07,389.3916214211498,386.7175625123731,359.79020461849746,380.514404296875
116,419.6274138417246,444.48607549333593,405.22716436052343,402.3351431813242,4.11970706148926e-07,389.5576215031393,386.8217408779409,360.06581774026114,380.6039733886719
117,421.03999623918554,445.32394323015234,404.00723561906835,402.68480596208593,4.14476499117676e-07,389.72362158512874,386.3617278686009,360.0937154533438,380.69354248046875
118,423.2281142201426,446.16181096696874,401.23382672929785,403.0344649281504,4.17347780367676e-07,389.88962166711826,385.775649114348,359.9118543304199,380.7831115722656
119,425.3326827015879,446.99967870378515,399.3848467793467,403.38412389421484,4.1865603818017597e-07,390.05562174910773,385.58172631042646,359.6704482228831,380.8727722167969
120,425.93827733659765,447.83754644060156,399.70773420000097,403.7337828602793,4.17686073336426e-07,390.2216218310972,385.9870135283451,359.43911437295725,380.96234130859375
121,424.6928320851328,448.6754218068125,402.10701284074804,404.083445641041,4.1565853818017597e-07,390.38762191308666,386.74238145117914,359.15610593202655,381.05194091796875
122,423.4256545033457,449.51329717302343,405.2597495045664,404.4331122365,4.14145073336426e-07,390.5536219950761,387.34438178464535,358.7547458081567,381.1414794921875
123,423.61427983903906,450.35117253923437,407.6536169972422,404.78278264665624,4.15252885836426e-07,390.71962207706565,387.4211753718646,358.306043224479,381.2310791015625
124,424.9922362294199,451.1890479054453,406.681532951832,405.1324530568125,4.17810350680176e-07,390.8856221590551,387.0070422551076,357.9998141259992,381.3206481933594
125,427.14120397233984,452.02692327165624,406.1916342701914,405.482127281666,4.20708854586426e-07,391.0516222410446,386.5032867798149,357.96372998447583,381.4102478027344
126,429.28805455827734,452.8647986378672,403.9125700917246,405.8318015065195,4.22073975680176e-07,391.2176223230341,386.36519364940904,358.10483980913244,381.4998474121094
127,430.02225026750585,453.7026740040781,402.77119741106054,406.1814719166758,4.21093128023926e-07,391.3836224050236,386.75882266779223,358.1549108572119,381.5894470214844
128,428.8286620106699,454.54054937028906,403.6603537526133,406.531142326832,4.19038210055176e-07,391.54962248701304,387.446011936913,357.9032307550471,381.67901611328125
129,427.4958754506113,455.3784247365,406.90194615983984,406.880808922291,4.17435585055176e-07,391.7156225690025,387.97630469741375,357.4031504873092,381.76861572265625
130,427.5961638417246,456.21630010271093,410.40183171892187,407.23047551775,4.18469780367676e-07,391.88162265099197,388.0317528602386,356.9452411699717,381.8581848144531
131,428.93573674821874,457.05417546892187,410.97656163835546,407.580142113209,4.21025108492676e-07,392.0476227329815,387.6609835805398,356.8065879421846,381.94775390625
132,431.0484267201426,457.8920508351328,409.99976644182226,407.92980870866796,4.23955835055176e-07,392.21362281497096,387.2306487811082,357.0068445942727,382.037353515625
133,433.2283087697031,458.72992620134374,408.15559682512304,408.27947530412695,4.25411721773926e-07,392.3796228969604,387.13998292040304,357.30700862976965,382.1269226074219
134,434.07311162614843,459.5678015675547,406.3879576649668,408.62914189958593,4.24492577242676e-07,392.54562297894995,387.5203361521994,357.4601151140147,382.2165222167969
135,432.94345006608984,460.4056769337656,406.3057700123789,408.9788084950449,4.22472475680176e-07,392.7116230609394,388.14550339230715,357.47609131730303,382.30609130859375
136,431.5512534108164,461.24355229997656,408.46251592302343,409.3284750905039,4.20828030367676e-07,392.8776231429289,388.6131461813675,357.63662862833627,382.39569091796875
137,431.57274541521093,462.0814276661875,411.98550710344335,409.67814550066015,4.21777924898926e-07,393.04362322491835,388.6523194170327,358.2257044115194,382.4852600097656
138,432.859137627125,462.91930303239843,414.2194548573496,410.0278159108164,4.24275635836426e-07,393.2096233069078,388.32232634936935,359.2162643146103,382.5748596191406
139,434.9353400197031,463.75717839860937,413.4595480885508,410.37748632097265,4.27179819430176e-07,393.37562338889734,387.95735943257375,360.2118017240336,382.6644287109375
140,437.1457816090586,464.5950537648203,412.86663350725195,410.7271567311289,4.28673999117676e-07,393.5416234708868,387.9068219667822,360.7200371583086,382.7540283203125
141,438.08852300310156,465.43292913103124,410.3513937916758,411.07682714128515,4.27793417086426e-07,393.70762355287627,388.27280315396047,360.53441986594913,382.8436279296875
142,437.033454033375,466.2708044972422,409.0057211842539,411.42649373674413,4.25825100680176e-07,393.8736236348658,388.8416723574097,359.89580812875545,382.9331970214844
143,435.58573827409765,467.1086798634531,409.778025719166,411.7761603322031,4.24187245211426e-07,394.03962371685526,389.2546920685519,359.2975920407925,383.0227966308594
144,435.5369177784922,467.94655522966406,412.87699803972265,412.1258269276621,4.25122038180176e-07,394.2056237988447,389.28182475175987,359.10743893418936,383.11236572265625
145,436.7691946949961,468.784430595875,416.2031851735117,412.4754935231211,4.27600202242676e-07,394.3716238808342,388.98999934215163,359.3262282719099,383.20196533203125
146,438.8101874318125,469.62230596208593,417.3002997365,412.8251601185801,4.30482952242676e-07,394.53762396282366,388.6831306015404,359.6639764424056,383.2915344238281
147,441.0476904835703,470.46018132829687,416.0511961903574,413.17482671403906,4.3199758505517597e-07,394.7036240448132,388.66639600384576,359.82533621585037,383.3811340332031
148,442.1046210255625,471.2980566945078,414.0994826283457,413.52449330949804,4.31115104586426e-07,394.86962412680265,389.0173362952747,359.73164645363136,383.470703125
149,441.1377325978281,472.13593206071874,412.2483321156504,413.874159904957,4.29156561617676e-07,395.0356242087921,389.53521039742293,359.502665241744,383.560302734375
150,439.6441031422617,472.9738074269297,412.1401740040781,414.223826500416,4.27491311617676e-07,395.20162429078164,389.90070813071156,359.26710834613976,383.6498718261719
151,439.51988896989843,473.8116827931406,414.2704459156992,414.573493095875,4.28407698336426e-07,395.3676243727711,389.9193150132363,359.0222035921793,383.7394714355469
152,440.69010839128515,474.64955815935156,417.803114983082,414.923159691334,4.30898303805176e-07,395.53362445476057,389.66306811645876,358.6817744584267,383.8290710449219
153,442.7043982472422,475.4874335255625,420.39221105241796,415.27282628679296,4.33798475680176e-07,395.69962453675004,389.40774736890836,358.23752636692933,383.91864013671875
154,444.97479924821874,476.32530889177343,419.7239027943613,415.62249288225195,4.3536953427392597e-07,395.8656246187395,389.4193470882746,357.8350810683271,384.00823974609375
155,446.15055761003515,477.16318425798437,419.04956349992773,415.97215947771093,4.34508159273926e-07,396.031624700729,389.75492486912543,357.65988907310793,384.0978088378906
156,445.2847434010508,478.0010596241953,416.2539816823008,416.3218260731699,4.3255241708642597e-07,396.1976247827185,390.226700707248,357.7389351897853,384.1874084472656
157,443.7672873463633,478.83893499040624,414.6378470387461,416.6714926686289,4.30833604586426e-07,396.36362486470796,390.5509475038295,357.8709204069075,384.2769775390625
158,443.5433188405039,479.6768103566172,415.24966725969335,417.0211592640879,4.31684948336426e-07,396.5296249466975,390.5639257689445,357.78268937217035,384.3665771484375
159,444.64258489275,480.5146857228281,417.99056920671484,417.37082585954687,4.34156897555176e-07,396.69562502868695,390.3407192821469,357.3813335574669,384.4561462402344
160,446.6159277882578,481.35256108903906,420.9394141163828,417.72049245500585,4.37064217867676e-07,396.8616251106764,390.13105567949736,356.85961846900807,384.5457458496094
161,448.91571721696874,482.19043645525,422.13490972185156,418.07015905046484,4.38696967867676e-07,397.0276251926659,390.1662742935165,356.5391445097969,384.63531494140625
162,450.21903905534765,483.02831182146093,421.1397429432871,418.4198256459238,4.3788023349267597e-07,397.19362527465535,390.4864469952906,356.58727071321397,384.72491455078125
163,449.4590445485117,483.86618718767187,418.4129706349375,418.7694922413828,4.35956358492676e-07,397.35962535664487,390.91663273717927,356.8754450830985,384.81451416015625
164,447.91611394548437,484.7040625538828,416.4071646656992,419.1191588368418,4.34210827242676e-07,397.52562543863434,391.2051567340337,357.1211090058547,384.9040832519531
165,447.5870734181406,485.54193792009374,416.3827658619883,419.4688254323008,4.35006674898926e-07,397.6916255206238,391.21487522005555,357.1838232316912,384.9936828613281
166,448.61237249040624,486.3798132863047,418.40964421892187,419.81849202775976,4.3744335458642597e-07,397.8576256026133,391.022246396635,357.228243607777,385.083251953125
167,450.5323859181406,487.2176886525156,421.89928350114843,420.16815862321874,4.40335401461426e-07,398.0236256846028,390.8529517362493,357.5814737451122,385.1728515625
168,452.8441229786875,488.05556401872656,425.87824163103124,420.51782521867773,4.4200443661767597e-07,398.18962576659226,390.9077344410391,358.4007247041583,385.2624206542969
169,454.2599249806406,488.8934393849375,426.6466704335215,420.8674918141367,4.4121588193017597e-07,398.3556258485817,391.2126807665417,359.4586803353817,385.3520202636719
170,453.605963799,489.73131475114843,426.11907491350195,421.2171584095957,4.39322831148926e-07,398.5216259305712,391.60541505199524,360.26202131992204,385.44158935546875
171,452.0539923634531,490.56919011735937,422.027236076832,421.5668250050547,4.37564323336426e-07,398.6876260125607,391.8630806498621,360.42067701240603,385.53118896484375
172,451.62663182878515,491.4070654835703,418.87094030046484,421.91649160051367,4.38331717867676e-07,398.8536260945502,391.8714576963582,359.9544443002864,385.6207580566406
173,452.56554326677343,492.24494084978124,418.55491170549413,422.26615819597265,4.40755202242676e-07,399.01962617653965,391.70703733581604,359.2734427268746,385.7103576660156
174,454.43739995622656,493.0828162159922,419.932078453541,422.61582479143163,4.43641131930176e-07,399.18562625852917,391.57337291976893,358.85409960099764,385.7999572753906
175,456.7635565724375,493.9206915822031,423.2857314076426,422.9654913868906,4.45345553805176e-07,399.35162634051864,391.6442432611128,358.8919146951813,385.8895263671875
176,458.29435643816015,494.75856694841406,426.5104933705332,423.3151579823496,4.44573725680176e-07,399.5176264225081,391.9343144425753,359.21409182935616,385.9791259765625
177,457.7557974781992,495.596442314625,426.6980277028086,423.6648245778086,4.4269280380517597e-07,399.68362650449757,392.29338661565777,359.48970495111985,386.0686950683594
178,456.20788488054296,496.43431768083593,425.58019170427343,424.0144911732676,4.40903588961426e-07,399.84962658648703,392.5244662391829,359.51760266420257,386.1582946777344
179,455.6912146534922,497.27219304704687,423.0932875599863,424.36415776872656,4.41631639742676e-07,400.01562666847656,392.53303746222946,359.3357415412775,386.24786376953125
180,456.53622350358984,498.1100684132578,421.2953139271738,424.71382436418554,4.44049045992676e-07,400.181626750466,392.3945630060741,359.09433543374223,386.33746337890625
