time_index,historical_tib
0,300.0358268728252
1,297.43782514286033
2,297.0636078500752
3,299.15955880212795
4,302.4408201966289
5,304.4421817822461
6,305.5769829735752
7,301.2727745947842
8,298.9864316539766
9,297.88912533569334
10,299.4105830993652
11,303.53947134017966
12,304.9954133901592
13,306.9074583706855
14,303.41829341077835
15,300.41002713537205
16,299.2181034197803
17,301.4400214204785
18,304.7868933362959
19,306.2641450328828
20,306.97197160434763
21,302.37109489250196
22,299.71854457426076
23,299.27961869287503
24,301.91212607526757
25,305.27262810468653
26,306.44780253362694
27,307.5848190598486
28,302.5293383879658
29,300.39420963907224
30,299.8449318389893
31,301.6517992076875
32,305.1627077960967
33,306.04923543882325
34,306.1347502799033
35,301.3429924683574
36,298.5944053864483
37,298.13144008874906
38,300.2452107815742
39,305.3830824823379
40,305.20772271919236
41,307.9186626095771
42,304.0910196919444
43,301.08811273431735
44,302.97428923320797
45,304.1898143181797
46,306.8738040614131
47,308.4306174831387
48,308.67421197319044
49,308.28603613901174
50,307.8914033150674
51,307.7792143597608
52,312.66940129613863
53,317.9994446539883
54,317.41050112295113
55,315.34760980987596
56,309.4409071145059
57,304.73169470453223
58,302.76169006919827
59,304.45183431053124
60,308.2972829384805
61,309.8631194853779
62,309.0872712464336
63,303.0751708884238
64,299.6951308603291
65,299.30428431034085
66,301.9648039698604
67,304.11926020622263
68,305.4928712830547
69,306.63515635442775
70,302.96513408803906
71,301.08297377681737
72,302.46918560123436
73,302.7864642844199
74,306.3095012707715
75,308.5743276996611
76,309.3085193982129
77,304.871579174042
78,301.7080871458057
79,300.72509213590627
80,302.4030526943203
81,305.40445796203613
82,306.885859242916
83,307.6410172486309
84,303.5770240206719
85,300.48805612134964
86,299.8706568202969
87,302.1084676003457
88,305.330027761459
89,307.1373179335596
90,308.0988017516133
91,303.8460185928349
92,301.41300038623825
93,300.62275601148633
94,302.20677256298046
95,307.24085795116406
96,308.07878691005664
97,308.144086675167
98,304.5176210975645
99,301.6942833085058
100,298.34512747716894
101,299.43290859317773
102,301.10643026590327
103,301.33824755239453
104,302.6858936324121
105,299.86109440326663
106,298.0515439472197
107,297.01592247962986
108,298.47960956335055
109,300.4413936624531
110,300.61630620861035
111,301.5262010164258
112,298.55228294944726
113,297.1375096898076
114,302.3558634042744
115,307.77728816080077
116,314.79874942731834
117,316.2944918527607
118,317.27664475250293
119,309.75860653162016
120,303.4122336225508
121,299.90872669792185
122,300.63618102407423
123,303.64826714277245
124,307.16266867017777
125,308.3151333408359
126,304.6301724371914
127,302.57242882061036
128,301.2262862286572
129,303.7695277733799
130,308.10293537950486
131,310.0686852221484
132,311.42017718935057
133,304.63303266572944
134,300.8319509935381
135,300.69712231731444
136,300.99879096460353
137,304.71622122192383
138,306.37385502910644
139,307.63751878643063
140,304.70805940103514
141,303.47080248260545
142,302.8659671525957
143,303.3038765997891
144,304.71582650709183
145,305.6754545731543
146,306.6452424960137
147,303.67989074134863
148,302.6536413173672
149,301.88006961250295
150,301.74385324573535
151,304.5584244661328
152,305.43399364805174
153,306.6019804625508
154,305.0812108211514
155,304.393656834126
156,304.57595625591307
157,304.7907171111103
158,306.6652473993301
159,308.4523162875176
160,309.6395278692246
161,307.45633934116404
162,306.0239950594903
163,305.09189664506937
164,306.1838461694717
165,319.13220526123047
166,321.54185575389846
167,336.49350828790625
168,338.3208205718994
169,330.7839761338232
170,319.36185444116603
171,313.7417289137842
172,314.6719375224111
173,316.15572716140724
174,319.25010740280175
175,318.67468267297755
176,318.2476016073223
177,317.62371215009665
178,318.1120223450664
179,318.9172873897549
180,319.8351949210166
181,323.07128547906837
182,320.7544186148642
183,319.70343207407035
184,319.38348101282133
185,320.04306145525004
186,322.3832940382959
187,324.1974145879746
188,329.0060932106973
189,322.9646071753506
190,321.56522035026563
191,324.46518045377735
192,323.6712704153057
193,329.13553482770897
194,331.0681352024082
195,332.7578960657119
196,331.2850181403164
197,329.3240858521465
198,328.78922450780857
199,330.3084779844287
200,341.22561408090627
201,340.58487881374316
