Model,MSE_TiB2,RMSE_TiB,R2_TiB,n_points,Actual_min_TiB,Actual_max_TiB,Pred_min_TiB,Pred_max_TiB,Pred_mean_TiB
MLP,246.90867395410987,15.713327908311143,-0.7984314086721052,104,334.7236767155123,387.8694948018532,350.089014242172,374.0965623359678,363.15653535922655
LSTM,1798.9799987675858,42.41438433795292,-12.10339601093904,104,334.7236767155123,387.8694948018532,290.53927893447855,368.098597476959,334.30110633257016
GRU,294.03385874527953,17.14741551211959,-1.141681449712252,104,334.7236767155123,387.8694948018532,352.6178509693144,382.8302049140928,366.97462882415135
PINN,254.00183770711362,15.937435104404775,-0.850096537628358,104,334.7236767155123,387.8694948018532,337.0545529823301,363.542014072418,353.0709329559664
TFKAN,314.9685636464084,17.74735370826897,-1.2941654844872703,104,334.7236767155123,387.8694948018532,351.0664472084043,379.39614767837503,364.4083512250458
ETS,74.37026298877427,8.623819512766618,0.4583024780446765,104,334.7236767155123,387.8694948018532,351.7877027166584,369.3324064193669,360.5600545680127
PROPHET,142.18433734146134,11.924107402294787,-0.03803107169260955,128,334.7236767155123,387.8694948018532,358.26748287722233,363.024488314876,360.5531606330028
MOE,281.11103160339866,16.766366082231375,-1.0475542655651355,104,334.7236767155123,387.8694948018532,351.6692810058594,382.1859436035156,371.8275375366211
