time_index,y_true_tib,y_pred_tib
0,352.54583871316896,351.7877027166584
1,355.04100160169537,351.9580396458109
2,357.4732509279248,352.1283765749634
3,358.5813304224014,352.29871350411594
4,355.9886318058965,352.4690504332684
5,354.11386958217577,352.63938736242096
6,353.69397120380376,352.80972429157345
7,355.1372449064248,352.980061220726
8,357.7201640548701,353.15039814987847
9,361.2189530162803,353.320735079031
10,364.8234346909521,353.4910720081835
11,363.0513694739336,353.66140893733603
12,360.8291715812676,353.8317458664885
13,360.77690869235937,354.00208279564106
14,358.61302688598636,354.17241972479354
15,359.95895939636233,354.342756653946
16,361.9287931575772,354.51309358309857
17,362.74134029340723,354.68343051225105
18,360.5786137714385,354.8537674414036
19,359.4771878509522,355.0241043705561
20,359.43301356029497,355.1944412997086
21,360.6109390511514,355.3647782288611
22,363.1825115556709,355.53511515801364
23,365.3311015462871,355.7054520871661
24,366.2207085857383,355.87578901631866
25,368.6939862670899,356.04612594547115
26,366.91898898410744,356.2164628746237
27,368.6217615447041,356.38679980377617
28,368.89344835424413,356.5571367329287
29,367.6018833012578,356.7274736620812
30,367.00634182500784,356.89781059123374
31,365.55039880275683,357.0681475203862
32,362.936735333919,357.2384844495387
33,361.97521022891993,357.40882137869124
34,362.50177953243264,357.5791583078437
35,363.29223281860357,357.74949523699627
36,369.0137198200225,357.91983216614875
37,375.0609515113828,358.0901690953013
38,382.7886291856758,358.2605060244538
39,381.5753632674209,358.4308429536063
40,382.2898578720088,358.6011798827588
41,376.73418037557525,358.77151681191134
42,372.96553063106546,358.9418537410638
43,374.2620888638496,359.11219067021636
44,380.7589470930098,359.28252759936885
45,383.48812245273535,359.4528645285214
46,381.8909349999424,359.6232014576739
47,375.6689297056191,359.79353838682636
48,373.418287390709,359.9638753159789
49,368.41418702793067,360.1342122451314
50,369.74243738555856,360.3045491742839
51,371.3635129699707,360.4748861034364
52,375.3613387041084,360.64522303258894
53,374.9327131557461,360.8155599617414
54,375.2590703654287,360.98589689089397
55,380.73226835203127,361.15623382004645
56,384.30036082696876,361.326570749199
57,389.38522195911327,361.4969076783515
58,398.2731847314834,361.667244607504
59,391.897853366375,361.8375815366565
60,387.561009424209,362.00791846580904
61,376.4695079536436,362.1782553949615
62,373.96841244459085,362.34859232411407
63,371.5952175869941,362.51892925326655
64,374.32550174760746,362.68926618241903
65,383.0968359599111,362.8596031115716
66,385.3623893833154,363.02994004072406
67,383.538893562793,363.2002769698766
68,382.05064432859376,363.3706138990291
69,375.9638537354463,363.5409508281816
70,376.18985077428806,363.7112877573341
71,376.42242373084963,363.88162468648665
72,380.84150906085944,364.05196161563913
73,384.0884462914463,364.22229854479167
74,381.0029196314805,364.39263547394415
75,374.6815933933252,364.5629724030967
76,376.1208568243975,364.7333093322492
77,374.4284869050977,364.9036462614017
78,377.20607685852053,365.0739831905542
79,386.984025983333,365.2443201197067
80,387.87913476848536,365.4146570488592
81,384.01738144111624,365.5849939780117
82,382.1313806314463,365.75533090716425
83,376.4788216605186,365.92566783631673
84,380.70544811534864,366.0960047654693
85,383.5586572380059,366.26634169462176
86,385.3658238272666,366.4366786237743
87,386.19520356368946,366.6070155529268
88,384.1131363663672,366.7773524820793
89,376.84003469562504,366.9476894112318
90,375.6645447239873,367.11802634038435
91,375.1197782931328,367.28836326953683
92,380.95189495706546,367.45870019868937
93,377.13037038898443,367.62903712784185
94,373.839413059711,367.79937405699434
95,370.60023968553514,367.9697109861469
96,368.0854189734453,368.14004791529936
97,373.1904082107539,368.3103848444519
98,375.25668472576075,368.4807217736044
99,382.0596806383125,368.6510587027569
100,385.1422001881592,368.8213956319094
101,385.58921603918066,368.9917325610619
102,376.53731011724415,369.16206949021444
103,371.3964340467451,369.3324064193669
