epoch,loss_total,val_loss_total,data_loss,val_data_loss,phys_loss,val_phys_loss
1,0.026160724461078644,0.03695514425635338,0.026160724461078644,0.03695514425635338,8.479894404445076e-07,5.978639023851429e-07
2,0.025418013334274292,0.03622904047369957,0.025418013334274292,0.03622904047369957,1.0417923022032483e-06,1.2451705515559297e-06
3,0.024758929386734962,0.035674165934324265,0.024758929386734962,0.035674165934324265,2.1602822926070075e-06,2.5358099264849443e-06
4,0.024317707866430283,0.035327207297086716,0.024317704141139984,0.03532720357179642,3.777058736886829e-06,4.328831892053131e-06
5,0.02405487932264805,0.035133104771375656,0.0240548737347126,0.03513309732079506,5.80937239647028e-06,6.179965112096397e-06
6,0.023954926058650017,0.03500288352370262,0.02395491674542427,0.03500287979841232,7.562203791167121e-06,7.613636626047082e-06
7,0.023876765742897987,0.03486056998372078,0.023876752704381943,0.03486056253314018,8.580712346883956e-06,8.482205885229632e-06
8,0.023761490359902382,0.03471545875072479,0.023761481046676636,0.034715451300144196,9.161529305856675e-06,9.06241712073097e-06
9,0.023717062547802925,0.03457912057638168,0.02371704950928688,0.034579113125801086,9.43509439821355e-06,9.722019058244769e-06
10,0.023678366094827652,0.03444760665297508,0.023678354918956757,0.03444759547710419,1.000636984826997e-05,1.0683721484383568e-05
11,0.02358957566320896,0.03431631624698639,0.023589566349983215,0.034316301345825195,1.0978325008181855e-05,1.1900946446985472e-05
12,0.023534515872597694,0.03418376296758652,0.02353450283408165,0.03418375179171562,1.185389919555746e-05,1.3313600902620237e-05
13,0.023459171876311302,0.034049272537231445,0.023459158837795258,0.03404925763607025,1.3126138583174907e-05,1.4884319170960225e-05
14,0.023371675983071327,0.03391241654753685,0.023371661081910133,0.033912401646375656,1.4315968655864708e-05,1.656407766859047e-05
15,0.023297157138586044,0.03377554938197136,0.023297138512134552,0.03377553075551987,1.5753530533402227e-05,1.837819036154542e-05
16,0.023228390142321587,0.03363466262817383,0.023228371515870094,0.033634644001722336,1.734805482556112e-05,2.048462556558661e-05
17,0.023157652467489243,0.03349529206752777,0.023157630115747452,0.03349526599049568,1.896892354125157e-05,2.2813583200331777e-05
18,0.023110171779990196,0.03335633501410484,0.023110151290893555,0.033356308937072754,2.103278529830277e-05,2.531559584895149e-05
19,0.02302665449678898,0.033202361315488815,0.02302663028240204,0.033202335238456726,2.306875103386119e-05,2.8174483304610476e-05
20,0.02297734096646309,0.0330515019595623,0.022977318614721298,0.033051472157239914,2.5347697373945266e-05,3.110600300715305e-05
21,0.02289976365864277,0.03291264921426773,0.02289973571896553,0.032912615686655045,2.782116825983394e-05,3.4152777516283095e-05
22,0.02286435477435589,0.0327802412211895,0.0228643249720335,0.032780200242996216,3.053611726500094e-05,3.7258687370922416e-05
23,0.022803639993071556,0.032656777650117874,0.02280360646545887,0.03265673667192459,3.2902789826039225e-05,4.0367955080000684e-05
24,0.022737743332982063,0.03253631666302681,0.022737707942724228,0.03253627195954323,3.529984314809553e-05,4.3635242036543787e-05
25,0.022705791518092155,0.03241615369915962,0.02270575426518917,0.03241610527038574,3.801330967689864e-05,4.7115037887124345e-05
26,0.02266698144376278,0.03230273351073265,0.022666940465569496,0.03230268508195877,4.052231088280678e-05,5.0560782256070524e-05
27,0.022576257586479187,0.03219114616513252,0.022576212882995605,0.032191090285778046,4.392178016132675e-05,5.411915117292665e-05
28,0.02258898690342903,0.03208278492093086,0.02258894219994545,0.032082729041576385,4.642654675990343e-05,5.782082735095173e-05
29,0.022519661113619804,0.031977299600839615,0.022519612684845924,0.03197723999619484,4.926498877466656e-05,6.169418338686228e-05
30,0.022473759949207306,0.031875643879175186,0.022473707795143127,0.031875576823949814,5.2691204473376274e-05,6.560485053341836e-05
31,0.022379539906978607,0.03177330270409584,0.02237948216497898,0.03177323192358017,5.593496098299511e-05,6.980166654102504e-05
32,0.022431163117289543,0.031676266342401505,0.022431103512644768,0.031676191836595535,6.000554276397452e-05,7.391386316157877e-05
33,0.0223423782736063,0.03159165009856224,0.022342316806316376,0.03159157186746597,6.249092984944582e-05,7.768183422740549e-05
34,0.022395726293325424,0.031503044068813324,0.022395659238100052,0.03150296211242676,6.576369924005121e-05,8.185415936168283e-05
35,0.022270509973168373,0.031423818320035934,0.02227044105529785,0.03142373263835907,6.92130925017409e-05,8.589521166868508e-05
36,0.022235393524169922,0.03134220093488693,0.02223532274365425,0.03134211152791977,7.272545190062374e-05,9.025027975440025e-05
37,0.022153902798891068,0.03127392381429672,0.0221538245677948,0.03127383068203926,7.653290958842263e-05,9.445017349207774e-05
38,0.02212166041135788,0.031212689355015755,0.022121582180261612,0.031212590634822845,7.89209152571857e-05,9.846381726674736e-05
39,0.022112393751740456,0.03114352375268936,0.02211231365799904,0.031143421307206154,8.277304004877806e-05,0.00010289389319950715
40,0.022024793550372124,0.031072288751602173,0.02202470973134041,0.031072180718183517,8.572797378292307e-05,0.00010737995762610808
41,0.02205074019730091,0.030997976660728455,0.022050650790333748,0.0309978649020195,8.92445386853069e-05,0.00011208682553842664
42,0.022034835070371628,0.030924946069717407,0.022034741938114166,0.030924830585718155,9.38154335017316e-05,0.00011677721340674907
