model,length,min_tib,max_tib,mean_tib,std_tib
MLP,128,350.089014242172,374.0965623359678,363.1565353592266,6.70479464845894
LSTM,128,290.53927893447855,368.098597476959,334.3011063325702,25.192398913571324
GRU,128,352.61785096931436,382.8302049140928,366.97462882415135,6.916460286304481
PINN,128,337.0545529823301,363.542014072418,353.07093295596644,5.828425342973015
TFKAN,128,351.0664472084043,379.39614767837503,364.4083512250459,6.7950461741784105
ETS,128,351.7877027166584,369.3324064193669,360.5600545680127,5.113655329271611
PROPHET,128,358.26748287722233,363.024488314876,360.5531606330028,1.1523881192565113
MOE,128,351.6692810058594,382.1859436035156,371.8275375366211,8.554524806617996
