time_index,ds,y_true_tib,y_pred_tib
0,2025-05-26,380.7314647355078,373.2078217210898
1,2025-05-27,372.22559567785254,373.2974074510166
2,2025-05-28,363.32710341930374,373.38699318094353
3,2025-05-29,357.2955835862158,373.4765789108704
4,2025-05-30,356.61143740320216,373.56616464079724
5,2025-05-31,356.72999392986327,373.6557503707241
6,2025-06-01,356.50178244733786,373.74533610065095
7,2025-06-02,351.5913576488496,373.8349218305778
8,2025-06-03,348.2196972684863,373.92450756050465
9,2025-06-04,345.3197300267217,374.0140932904315
10,2025-06-05,342.7570449566846,374.10367902035836
11,2025-06-06,344.1777796616553,374.1932647502852
12,2025-06-07,346.2068891687393,374.28285048021206
13,2025-06-08,349.30214546537405,374.3724362101389
14,2025-06-09,349.4238777604101,374.46202194006577
15,2025-06-10,347.7596883559229,374.5516076699926
16,2025-06-11,347.754414570332,374.6411933999195
17,2025-06-12,350.9310981144902,374.7307791298463
18,2025-06-13,353.97589047002833,374.8203648597732
19,2025-06-14,356.43215427255666,374.90995058970003
20,2025-06-15,357.26550184917477,374.99953631962694
21,2025-06-16,354.1465713410381,375.0891220495538
22,2025-06-17,351.6173657875059,375.17870777948065
23,2025-06-18,350.52254373312013,375.2682935094075
24,2025-06-19,351.4510166587832,375.35787923933435
25,2025-06-20,353.9461795473096,375.4474649692612
26,2025-06-21,356.37842887353906,375.53705069918806
27,2025-06-22,357.4865083680156,375.6266364291149
28,2025-06-23,354.89380975151073,375.71622215904176
29,2025-06-24,353.01904752779,375.8058078889686
30,2025-06-25,352.599149149418,375.8953936188955
31,2025-06-26,354.04242285203907,375.9849793488224
32,2025-06-27,356.62534200048435,376.07456507874923
33,2025-06-28,360.12413096189454,376.1641508086761
34,2025-06-29,363.72861263656637,376.25373653860294
35,2025-06-30,361.95654741954786,376.3433222685298
36,2025-07-01,359.73434952688183,376.43290799845664
37,2025-07-02,359.6820866379736,376.5224937283835
38,2025-07-03,357.5182048316006,376.61207945831035
39,2025-07-04,358.8641373419766,376.7016651882372
40,2025-07-05,360.83397110319146,376.79125091816405
41,2025-07-06,361.6465182390215,376.8808366480909
42,2025-07-07,359.4837917170527,376.97042237801776
43,2025-07-08,358.38236579656643,377.0600081079446
44,2025-07-09,358.3381915059092,377.14959383787146
45,2025-07-10,359.5161169967656,377.2391795677983
46,2025-07-11,362.0876895012851,377.32876529772517
47,2025-07-12,364.2362794919013,377.418351027652
48,2025-07-13,365.12588653135253,377.5079367575789
49,2025-07-14,367.5991642127041,377.5975224875057
50,2025-07-15,365.8241669297217,377.6871082174326
51,2025-07-16,367.52693949031834,377.77669394735943
52,2025-07-17,367.79862629985837,377.8662796772863
53,2025-07-18,366.50706124687207,377.9558654072132
54,2025-07-19,365.9115197706221,378.04545113714005
55,2025-07-20,364.4555767483711,378.1350368670669
56,2025-07-21,361.84191327953323,378.22462259699375
57,2025-07-22,360.8803881745342,378.3142083269206
58,2025-07-23,361.4069574780469,378.4037940568475
59,2025-07-24,362.1974107642178,378.49337978677437
60,2025-07-25,367.91889776563676,378.5829655167012
61,2025-07-26,373.96612945699707,378.6725512466281
62,2025-07-27,381.69380713129004,378.7621369765549
63,2025-07-28,380.48054121303517,378.8517227064818
64,2025-07-29,381.195035817623,378.94130843640863
65,2025-07-30,375.6393583211895,379.0308941663355
66,2025-07-31,371.8707085766797,379.12047989626234
67,2025-08-01,373.16726680946385,379.2100656261892
68,2025-08-02,379.66412503862404,379.29965135611604
69,2025-08-03,382.3933003983496,379.3892370860429
70,2025-08-04,380.7961129455566,379.47882281596975
71,2025-08-05,374.57410765123336,379.5684085458966
72,2025-08-06,372.32346533632324,379.65799427582346
73,2025-08-07,367.3193649735449,379.7475800057503
74,2025-08-08,368.6476153311728,379.83716573567716
75,2025-08-09,370.26869091558495,379.926751465604
76,2025-08-10,374.26651664972263,380.01633719553087
77,2025-08-11,373.83789110136036,380.1059229254577
78,2025-08-12,374.16424831104297,380.1955086553846
79,2025-08-13,379.6374462976455,380.2850943853114
80,2025-08-14,383.205538772583,380.3746801152383
81,2025-08-15,388.2903999047275,380.4642658451652
82,2025-08-16,397.17836267709765,380.55385157509204
83,2025-08-17,390.80303131198923,380.6434373050189
84,2025-08-18,386.4661873698232,380.73302303494575
85,2025-08-19,375.3746858992578,380.8226087648726
86,2025-08-20,372.8735903902051,380.91219449479945
87,2025-08-21,370.50039553260837,381.0017802247263
88,2025-08-22,373.2306796932217,381.09136595465316
89,2025-08-23,382.00201390552536,381.18095168458
90,2025-08-24,384.26756732892966,381.27053741450686
91,2025-08-25,382.44407150840726,381.3601231444337
92,2025-08-26,380.955822274208,381.44970887436057
93,2025-08-27,374.86903168106056,381.5392946042874
94,2025-08-28,375.0950287199023,381.6288803342143
95,2025-08-29,375.32760167646387,381.7184660641411
96,2025-08-30,379.7466870064737,381.808051794068
97,2025-08-31,382.99362423706054,381.89763752399483
98,2025-09-01,379.90809757709474,381.9872232539217
99,2025-09-02,373.58677133893946,382.07680898384854
100,2025-09-03,375.02603477001173,382.1663947137754
101,2025-09-04,373.33366485071195,382.25598044370224
102,2025-09-05,376.1112548041348,382.3455661736291
103,2025-09-06,385.88920392894727,382.435151903556
104,2025-09-07,386.7843127140996,382.52473763348286
105,2025-09-08,382.9225593867305,382.6143233634097
106,2025-09-09,381.03655857706053,382.70390909333656
107,2025-09-10,375.3839996061328,382.7934948232634
108,2025-09-11,379.6106260609629,382.88308055319027
109,2025-09-12,382.4638351836201,382.9726662831171
110,2025-09-13,384.2710017728808,383.062252013044
111,2025-09-14,385.1003815093037,383.1518377429709
