Actual_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,PROPHET_TiB,MOE_TiB
371.8080710307693,352.2288456659315,350.3328655462263,352.9009142618177,350.77165700006464,351.9559704761503,351.7877027166584,362.3981666099105,351.6692810058594
363.5015582791529,354.91519064712503,349.9803497295377,356.0927495460508,350.96459520864465,355.1630179386137,351.9580396458109,362.2163054869861,353.46246337890625
354.8116244329138,357.3759393196104,350.11763186264017,358.9041547279356,351.631129096031,358.31798262405374,352.1283765749634,361.9748993794512,355.807373046875
348.92146834591387,358.2956966857908,350.2323743801115,360.098880718231,352.2659979562757,360.771901081085,352.29871350411594,361.743565529525,357.555419921875
348.2533568390646,356.5257248382566,350.0920366744993,359.2870697479246,352.6653899650572,359.4068684082029,352.4690504332684,361.4605570885922,356.0500183105469
348.3691346971321,354.5120508174894,350.0423218708036,357.25905699539163,353.07694406318643,357.464754055023,352.63938736242096,361.0591969647231,354.8043212890625
348.1462719212284,352.64340729522684,350.4403053026197,356.30102057266214,353.7316998939512,356.1096367340086,352.80972429157345,360.61049438104567,354.2644958496094
343.3509352039547,354.46671671676614,351.3197437624929,357.6228146057127,354.67253966140726,357.8936190109251,352.980061220726,360.30426528256567,355.43914794921875
340.05829811375617,356.80848021316507,352.4751682381628,360.7176732521055,355.65981573867776,361.68789763259866,353.15039814987847,360.26818114104304,358.2090759277344
337.2262988542204,358.86152071762064,353.4550289611814,363.20259661483743,356.4908542137144,364.5829200248716,353.320735079031,360.4092909657,361.2576904296875
334.7236767155123,359.76466269302347,353.86386246490457,363.3683957557676,356.7997655372617,366.0900220375059,353.4910720081835,360.459362013777,362.4202270507813
336.1111129508352,358.0926560859678,353.359476755142,364.5499619941709,356.4171318511961,364.4114446144102,353.66140893733603,360.20768191161096,360.1623840332031
338.09266520384693,356.0146817665098,352.3951656322477,360.2524823646543,355.5899271469114,362.218995044708,353.8317458664885,359.70760164387514,357.9877319335937
341.11537643102935,355.532896469116,351.62797773885706,357.2902574043272,354.6806380252836,360.826157520294,354.00208279564106,359.24969232653854,357.2255249023437
341.2342556254005,356.5154900054929,351.2765407066343,357.79680628585794,354.05040092277505,361.1532830696104,354.17241972479354,359.11103909875135,357.296142578125
339.60907066008093,357.92522425460794,351.55527869868257,358.47522635269144,354.0388619403837,362.20508475112894,354.342756653946,359.3112957508393,358.191162109375
339.6039204788399,360.254624317169,352.2036704521177,362.0950211982725,354.46337623405435,364.1105117301939,354.51309358309857,359.6114597863372,360.3776245117188
342.70615050243185,361.71734614181497,352.84640986728647,364.49348540115335,355.0540322761533,365.01942343521097,354.68343051225105,359.7645662705817,361.3937072753906
345.67958053713704,360.5322675209043,353.3857752780912,365.0692948799131,355.6651381950376,364.159089992523,354.8537674414036,359.78054247387155,360.02447509765625
348.0782756567936,359.0289458732603,354.1406335334776,365.0356139640806,356.4389214019773,363.1534289817808,355.0241043705561,359.9410797849031,359.03857421875
348.8920916495848,358.36656517791727,355.2683305244444,365.3091506462095,357.43005890655496,363.2279271583555,355.1944412997086,360.53015556808447,359.2991943359375
