Modelo,MSE_TiB,RMSE_TiB,R2_TiB
MLP,184.73959350585938,13.591894404602302,-0.8617810010910034
LSTM,2469.5068359375,49.6941328120081,-23.887361526489258
GRU,131.42710876464844,11.464166291739161,-0.3245048522949219
TFKAN,188.34288024902344,13.723807061053556,-0.8980944156646729
PINN,560.552490234375,23.675989741389376,-4.649173259735107
EXP,208.88934326171875,14.453004644769154,-1.105159044265747
ARIMA,271.8651123046875,16.488332611416094,-1.7398204803466797
PROPHET,91.04400446788812,9.541698196227342,0.08247075942522686
MOE,28.469511032104492,5.335682808423351,0.7130880355834961
