weight_MLP,weight_LSTM,weight_GRU,weight_PINN,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
0.020767318,0.024214812,0.0121782245,0.0013921193,0.124728926,0.0036242045,0.02282503,0.7902693
0.013295023,0.015905567,0.008258377,0.00058058504,0.12108554,0.0042923056,0.011218735,0.8253638
0.003527387,0.008353844,0.0036734329,6.317881e-05,0.100593485,0.0018423495,0.0027357538,0.8792105
0.0016300392,0.0060141757,0.0024430414,1.8619101e-05,0.07462237,0.0011450748,0.0011281631,0.91299856
0.001797441,0.006662705,0.0028388174,2.2600252e-05,0.07255789,0.0012869146,0.0012012197,0.9136324
0.0051615457,0.01151702,0.007361563,0.00014290735,0.10832316,0.0043757535,0.0033579068,0.8597602
0.016535616,0.021202583,0.018940179,0.0010309849,0.13319983,0.014764245,0.009715773,0.7846107
0.01855182,0.02257843,0.01796018,0.0011445086,0.13130164,0.012661519,0.011644194,0.7841578
0.00876077,0.013227429,0.009076801,0.0002806892,0.11308374,0.006375708,0.0052588233,0.843936
0.0017476461,0.0058104894,0.002393621,1.6779497e-05,0.06325331,0.00094635464,0.0010880537,0.9247438
0.00040521906,0.0030495415,0.00072419416,1.4821703e-06,0.020387199,0.00010884965,0.00021169404,0.97511184
0.00051491114,0.003525463,0.00091098994,2.328677e-06,0.024038414,0.00013792838,0.00028750225,0.97058254
0.0019084145,0.007186288,0.0030767515,2.1997255e-05,0.04843117,0.00073788955,0.0011259979,0.93751144
0.008236739,0.01471073,0.009490302,0.00024140402,0.08727982,0.004750439,0.004728723,0.87056184
0.011975876,0.016253144,0.011428202,0.00040417924,0.11038935,0.0076918956,0.0069378307,0.8349195
0.0053697266,0.008701156,0.0059998,9.382473e-05,0.0951465,0.0045266193,0.0027869137,0.8773755
0.00104106,0.0035287645,0.0015950686,5.146102e-06,0.045994665,0.00071127806,0.00048320848,0.9466408
0.00022004674,0.0018401111,0.0004680062,4.077056e-07,0.013469122,7.0645634e-05,8.3423605e-05,0.9838483
0.00022879986,0.002092335,0.00048720976,4.982185e-07,0.013204885,5.5341385e-05,9.8227916e-05,0.98383284
0.00069242023,0.0041039805,0.0014138817,3.5006838e-06,0.024183867,0.00020005276,0.00033975302,0.96906245
0.0022650717,0.008071245,0.0037010957,2.4433348e-05,0.035583343,0.0007767013,0.0010741189,0.948504
0.002294427,0.007926757,0.0036425164,2.289879e-05,0.033888865,0.00073918235,0.001057874,0.9504275
0.0010604347,0.00449606,0.002074263,5.735754e-06,0.023256145,0.00042251332,0.0003930755,0.96829176
