weight_MLP,weight_LSTM,weight_GRU,weight_PINT,weight_TFKAN,weight_EXP,weight_ARIMA,weight_PROPHET
0.38596937,0.014494413,0.035533503,0.05439673,0.03220364,0.030350113,0.40780956,0.039242793
0.3858055,0.0144470725,0.035664827,0.054547176,0.032253183,0.030216316,0.40780652,0.03925941
0.38578382,0.014401156,0.035781626,0.05463086,0.032274496,0.030103354,0.40775174,0.039273046
0.3857756,0.014342567,0.03591947,0.054639097,0.032268286,0.030015195,0.4077628,0.039276958
0.38590005,0.01427361,0.03604435,0.05454918,0.032220773,0.029949345,0.40780628,0.03925637
0.38620442,0.014138168,0.036278013,0.054248113,0.032082528,0.029901208,0.40797725,0.03917026
0.38613206,0.014003383,0.03643348,0.054078896,0.031999428,0.02981243,0.40850782,0.039032504
0.38603088,0.0139366845,0.03654601,0.054111306,0.032001022,0.029705305,0.4086699,0.038998984
0.3859582,0.013866872,0.036696784,0.054131564,0.031998407,0.029602682,0.4087662,0.038979255
0.3859858,0.013795254,0.036851637,0.054100726,0.03197459,0.029514983,0.40881833,0.038958643
0.3861564,0.013721621,0.0370598,0.05401656,0.03192941,0.029445192,0.40870798,0.03896296
0.38623586,0.013647036,0.037230782,0.05395867,0.031894397,0.029364254,0.40872627,0.038942743
0.38622287,0.013572151,0.037397347,0.053943098,0.03187652,0.029268667,0.40880275,0.03891673
0.38618624,0.013498867,0.037548427,0.05394351,0.03186433,0.029166613,0.40890798,0.03888407
0.3862034,0.0134260645,0.037699953,0.05391787,0.031841587,0.029073622,0.4089854,0.038852103
0.3862574,0.013350732,0.037881646,0.053859875,0.03180768,0.02899496,0.40901774,0.038829815
0.38646528,0.013274243,0.038090162,0.053782903,0.03177019,0.028907912,0.4088862,0.038823027
0.38666275,0.0132010225,0.03829201,0.053741004,0.031747732,0.02880465,0.40873176,0.038819082
0.38667515,0.013131403,0.038487367,0.0537683,0.0317525,0.028688999,0.4086823,0.038813956
0.38671052,0.013068157,0.038660597,0.053805612,0.031759504,0.028571429,0.40861455,0.03880968
0.3868042,0.013003861,0.038845874,0.053820208,0.03175968,0.028459147,0.40849698,0.03881001
0.38703206,0.012935432,0.039079417,0.053793702,0.031748183,0.028352628,0.40822977,0.038828824
0.38732684,0.012871153,0.039297346,0.053754617,0.03173093,0.028249145,0.40792167,0.038848218
0.38753843,0.012811666,0.03951642,0.05376716,0.031733498,0.02813354,0.40762362,0.0388757
0.387627,0.012760213,0.039705902,0.05384464,0.031758588,0.028004752,0.40739703,0.03890179
0.38760975,0.0127118435,0.039873485,0.053956416,0.03179604,0.027872175,0.40726012,0.03892015
0.38770744,0.012661216,0.040045,0.0540174,0.03181473,0.027751388,0.40706566,0.038937107
0.38790563,0.012598348,0.040226396,0.054026756,0.031809807,0.02763029,0.4068346,0.038968243
0.38820466,0.012522464,0.040404167,0.053941783,0.03176449,0.027530242,0.40666005,0.038972173
0.38853648,0.012412099,0.04065581,0.053734206,0.03166378,0.027451355,0.40661472,0.038931537
0.3885669,0.012325209,0.040834725,0.053677574,0.031624805,0.027351731,0.40672433,0.03889471
0.3885969,0.012263371,0.040978976,0.053715736,0.031626083,0.027231975,0.40669385,0.03889308
0.38864526,0.0121987825,0.041146357,0.05375011,0.031626076,0.02711025,0.40662435,0.03889886
0.38877228,0.012131177,0.04132175,0.05374643,0.031611446,0.026996706,0.4065174,0.03890276
0.38906124,0.012059524,0.041545518,0.053703353,0.031582586,0.026883999,0.40623555,0.03892826
0.3892676,0.011988119,0.04175289,0.05367321,0.031557538,0.02677254,0.4060486,0.038939543
0.38936803,0.011918662,0.041945856,0.05367496,0.031543538,0.026657004,0.4059507,0.03894122
0.38940996,0.011851583,0.0421171,0.05368965,0.031533375,0.026542448,0.40592504,0.038930934
0.38948384,0.011783968,0.042287022,0.053686485,0.03151661,0.026433056,0.40589094,0.038918085
0.38963428,0.011713082,0.04248503,0.05365781,0.03149172,0.026326558,0.40577453,0.03891697
0.3898575,0.011642675,0.042699084,0.053616185,0.031462688,0.026220525,0.40557483,0.03892654
0.39003497,0.011576239,0.04290686,0.053603847,0.031444672,0.02610855,0.405386,0.0389388
0.39007685,0.011513778,0.04310282,0.053646922,0.031447656,0.02598649,0.40527505,0.03895048
0.39011064,0.011456231,0.043275557,0.053700265,0.031453915,0.025864836,0.4051812,0.038957357
0.39014944,0.011388681,0.043463305,0.0537159,0.03144507,0.0257261,0.40514314,0.038968366
0.39029676,0.011318912,0.043682512,0.05370148,0.031426802,0.025591537,0.40498704,0.03899498
0.39050573,0.011251897,0.04390243,0.053678364,0.031405687,0.025459843,0.40476918,0.03902689
0.39064062,0.0111872805,0.044120017,0.053692896,0.031398095,0.025312753,0.404583,0.039065387
0.39067295,0.011126842,0.044319343,0.05375432,0.031406663,0.02514928,0.40446606,0.039104626
0.39062926,0.011069717,0.04449514,0.053840462,0.031424012,0.024984756,0.40442124,0.039135415
0.3906655,0.011011825,0.04467543,0.053891864,0.031429335,0.02483634,0.404327,0.03916266
0.39080554,0.010946519,0.044888675,0.053880475,0.03141276,0.024710067,0.40416968,0.03918631
0.39103615,0.010873633,0.04511055,0.053794492,0.03136676,0.024608212,0.40402326,0.039186914
0.39127365,0.010787986,0.045377325,0.05366554,0.031301383,0.024503428,0.4039113,0.03917944
0.39134717,0.010717889,0.045597207,0.053643867,0.03127897,0.024379784,0.4038485,0.039186627
0.39136755,0.010655788,0.04578621,0.053664997,0.031272072,0.024245605,0.40381083,0.0391969
0.39138132,0.010591872,0.045987625,0.053684324,0.031264342,0.024109611,0.40377158,0.039209243
0.39144945,0.010526921,0.046194337,0.05367693,0.031247055,0.023984484,0.40370306,0.039217707
0.3916215,0.010458751,0.046435006,0.053636096,0.031217474,0.0238617,0.40353265,0.03923673
0.39175326,0.010389559,0.04667599,0.05360091,0.031189099,0.023736054,0.40340355,0.039251633
0.39180708,0.010320666,0.046906255,0.053586055,0.031166717,0.023603082,0.4033497,0.039260413
0.3918122,0.010253196,0.04711849,0.05358131,0.031147074,0.023470053,0.40335804,0.03925974
0.39183483,0.010186035,0.04732676,0.05356364,0.031123003,0.023345659,0.40336683,0.039253216
0.39191887,0.010117446,0.047554757,0.053522862,0.031091731,0.023229487,0.4033139,0.039250996
0.39205772,0.0100488,0.047797278,0.053468753,0.031056,0.02311525,0.40320092,0.039255224
0.39216214,0.009981317,0.04804164,0.053434025,0.031026915,0.02299192,0.4030973,0.03926476
0.39216563,0.00991568,0.048276637,0.053438377,0.031011634,0.02285631,0.40305984,0.039275784
0.39215177,0.009853532,0.048490737,0.053454008,0.031000094,0.022720935,0.40304637,0.0392826
0.39215785,0.009792065,0.048706874,0.053461064,0.030986836,0.022594145,0.40301242,0.039288703
0.39224923,0.009730189,0.048943978,0.053443033,0.030966146,0.022476563,0.40288854,0.03930232
0.39239183,0.009669752,0.049187846,0.053417716,0.030943299,0.022360409,0.4027066,0.039322503
0.39247358,0.009611343,0.049428605,0.05342529,0.030931843,0.022230927,0.40254876,0.039349683
0.3924695,0.009555926,0.04965394,0.05347426,0.03093415,0.02208607,0.40244594,0.03938024
0.39241153,0.009502879,0.049858384,0.05354156,0.030942649,0.02194006,0.40239856,0.03940441
0.39241356,0.009448749,0.050068583,0.053577248,0.030940576,0.02180894,0.4023197,0.039422706
0.39252186,0.009389228,0.0503113,0.053551234,0.03091743,0.021699252,0.40217432,0.039435353
0.39271617,0.009326283,0.050566502,0.053472638,0.030875158,0.021607773,0.40199924,0.039436363
0.39291406,0.009262641,0.05084162,0.05339832,0.030834576,0.021510648,0.40179172,0.03944643
0.39300433,0.009204752,0.05109198,0.053383492,0.03081596,0.021398738,0.40163708,0.039463673
0.3930318,0.009150371,0.05131628,0.053398557,0.03080698,0.021278443,0.40153906,0.03947842
0.39304733,0.009095488,0.051546145,0.05341465,0.030798357,0.02115789,0.40144667,0.03949337
0.39310697,0.009039975,0.051781107,0.05340817,0.030782096,0.021047149,0.40133032,0.039504215
0.39323753,0.008982769,0.052039072,0.053375896,0.030756647,0.020940764,0.4011477,0.039519552
0.39334512,0.008924723,0.052303582,0.053347856,0.030732045,0.02083066,0.40098068,0.039535265
0.39339513,0.008867015,0.05255979,0.053336844,0.030712234,0.02071358,0.40086743,0.039547984
0.39340755,0.008810052,0.05280277,0.053333703,0.030694377,0.020595534,0.40080172,0.039554235
0.39343464,0.008752987,0.05304365,0.05331734,0.030672068,0.020485327,0.4007398,0.039554235
0.39351326,0.008694762,0.05329994,0.053276807,0.030642066,0.020384455,0.40063518,0.03955356
0.3936324,0.008636209,0.053568564,0.05322288,0.030607475,0.020286508,0.40049025,0.039555628
0.39372152,0.008578137,0.05384117,0.05318449,0.030577868,0.020180637,0.40035343,0.03956273
0.3937352,0.00852138,0.054105338,0.053176753,0.030558456,0.02006423,0.40026644,0.03957214
0.39373043,0.008466723,0.05435374,0.053178925,0.030542249,0.019947099,0.40020195,0.03957893
0.39374587,0.008412345,0.054604996,0.053170107,0.030523364,0.019838382,0.40012178,0.039583206
0.3938302,0.008357763,0.0548718,0.05313695,0.030497266,0.019739864,0.39997673,0.039589446
0.3939518,0.0083039235,0.055146992,0.053097416,0.030469378,0.019642789,0.39978707,0.039600614
